number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity,occupancy_ratio,entropy
9,0.57,2450,0.65,0.268,0.0265
0,0.0,2450,0.0,0.4306,0.0234
12,0.42,4050,0.5,0.7553,0.0173
12,0.59,4050,0.49,0.4683,0.0334
0,0.0,4050,0.0,0.6102,0.0256
6,0.69,2450,0.49,0.578,0.0168
2,0.77,1250,0.38,0.4304,0.0128
4,0.71,4050,0.53,0.6141,0.0261
0,0.0,4050,0.0,0.4281,0.035
0,0.0,2450,0.0,0.3849,0.0236
3,0.55,2450,0.6,0.3994,0.0238
3,0.71,2450,0.5,0.2606,0.0267
9,0.52,2450,0.47,0.6124,0.017
8,0.52,4050,0.58,0.432,0.0338
9,0.53,2450,0.44,0.6302,0.016
8,0.6,4050,0.62,0.2457,0.0414
2,0.49,1250,0.64,0.6104,0.0091
6,0.63,2450,0.75,0.4,0.0237
0,0.0,1250,0.0,0.4364,0.0124
6,0.49,2450,0.6,0.2555,0.0261
4,0.61,1250,0.7,0.338,0.0137
0,0.0,1250,0.0,0.5012,0.0114
2,0.57,1250,0.55,0.4152,0.0132
4,0.51,4050,0.64,0.4488,0.0331
8,0.51,4050,0.47,0.4422,0.035
6,0.38,2450,0.47,0.4467,0.0213
0,0.0,4050,0.0,0.5758,0.0263
8,0.67,4050,0.46,0.4938,0.0299
8,0.54,4050,0.5,0.5531,0.029
12,0.58,4050,0.63,0.4214,0.0337
9,0.54,2450,0.49,0.2357,0.0271
4,0.59,1250,0.5,0.2392,0.0152
9,0.6,2450,0.56,0.2459,0.0267
9,0.57,2450,0.48,0.2849,0.0261
12,0.55,4050,0.58,0.3698,0.0357
3,0.53,2450,0.61,0.5684,0.0183
6,0.6,1250,0.63,0.58,0.01
0,0.0,2450,0.0,0.3631,0.0241
0,0.0,1250,0.0,0.2784,0.0144
3,0.4,2450,0.45,0.6043,0.0173
0,0.0,1250,0.0,0.1784,0.0163
6,0.46,1250,0.56,0.3688,0.0135
4,0.63,1250,0.49,0.286,0.0144
3,0.5,2450,0.56,0.4812,0.0215
4,0.4,4050,0.51,0.664,0.0218
6,0.6,1250,0.51,0.3632,0.0133
4,0.6,4050,0.55,0.5995,0.0257
4,0.51,1250,0.76,0.2144,0.0159
8,0.5,4050,0.39,0.518,0.0294
9,0.55,2450,0.64,0.4753,0.0214
9,0.51,2450,0.56,0.5498,0.0185
6,0.34,2450,0.53,0.4582,0.0221
9,0.74,2450,0.63,0.4571,0.0211
9,0.42,2450,0.44,0.5818,0.0175
0,0.0,4050,0.0,0.7821,0.0163
9,0.71,2450,0.51,0.5139,0.0193
9,0.56,2450,0.52,0.2427,0.0278
2,0.85,1250,0.52,0.502,0.0117
9,0.6,2450,0.41,0.2112,0.0272
6,0.53,2450,0.66,0.5131,0.0196
8,0.47,4050,0.5,0.2895,0.0396
3,0.46,2450,0.83,0.2088,0.0275
0,0.0,4050,0.0,0.044,0.0454
0,0.0,2450,0.0,0.4735,0.0212
0,0.0,4050,0.0,0.1038,0.0454
9,0.54,2450,0.61,0.0563,0.0295
4,0.61,4050,0.48,0.288,0.0398
6,0.57,2450,0.52,0.0563,0.0295
6,0.44,2450,0.56,0.0563,0.0295
9,0.49,2450,0.51,0.1529,0.0293
12,0.55,4050,0.58,0.1406,0.0438
0,0.0,4050,0.0,0.1422,0.0436
0,0.0,4050,0.0,0.3465,0.0383
0,0.0,4050,0.0,0.2194,0.0417
0,0.0,1250,0.0,0.26,0.0155
6,0.54,2450,0.43,0.4488,0.0218
12,0.69,4050,0.66,0.369,0.0374
0,0.0,2450,0.0,0.3914,0.0227
12,0.65,4050,0.52,0.3925,0.0345
0,0.0,4050,0.0,0.4814,0.0316
9,0.4,2450,0.61,0.5647,0.0185
8,0.65,4050,0.51,0.2464,0.0419
4,0.6,1250,0.32,0.3672,0.014
2,0.27,1250,0.88,0.4976,0.0112
9,0.61,2450,0.48,0.4455,0.0216
4,0.52,1250,0.73,0.2048,0.0158
9,0.42,2450,0.39,0.549,0.0177
2,0.69,1250,0.18,0.5764,0.0101
