robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
0.22,0.113,0.67,0.33,0.0,64.36,1227573334560,25.0,25.0,1,15,2.5,0,0,0.0,0,360.0,0.0118,1250,2.3219,2,0.4624,1.0,0.0155,0.0,0.68,0.78,4,1,0,0,0
2.0,0.267,0.0,1.0,0.0,78.07,5980000005980,25.0,25.0,1,70,1.5,0,0,0.0,0,180.0,0.0152,1250,2.3219,5,0.27,0.6,0.0088,0.0,0.0,0.0,0,0,1,0,0
1.1,0.625,0.3,0.7,0.0,131.4,2643160002641,25.0,25.0,1,70,1.5,0,0,0.0,0,120.0,0.0136,1250,2.3219,6,0.3676,0.3,0.0069,0.0,0.64,0.42,4,0,0,1,0
2.0,0.267,0.93,0.07,0.0,89.68,584776667249,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.0155,1250,2.3219,2,0.2164,0.0,0.0,1.0,0.21,0.54,2,0,1,0,0
1.1,0.625,0.34,0.66,0.0,72.59,2520896554243,35.0,35.0,1,70,1.5,0,0,0.0,0,288.0,0.025,2450,2.3219,10,0.3686,0.4,0.0162,0.0,0.4,0.32,3,1,0,0,0
1.1,0.625,0.34,0.66,0.0,75.69,3287310348112,35.0,35.0,1,45,1.5,0,0,0.0,0,270.0,0.0208,2450,2.3219,7,0.4927,0.7,0.0123,0.0,0.0,0.0,0,1,0,0,0
0.22,0.113,1.0,0.0,0.0,54.57,824306897374,35.0,35.0,1,45,2.5,0,0,0.0,0,308.5714,0.0253,2450,2.3219,4,0.2873,0.2,0.014,0.0,0.0,0.0,0,0,1,0,0
1.1,0.625,0.23,0.77,0.0,82.55,2278136668943,35.0,35.0,1,45,2.5,0,0,0.0,0,180.0,0.0242,2450,2.3219,5,0.3365,0.6,0.0064,0.0,0.63,0.65,9,1,0,0,0
0.22,0.113,0.67,0.33,0.0,87.45,1405813334737,35.0,35.0,1,45,2.0,0,0,0.0,0,120.0,0.0234,2450,2.3219,5,0.3673,0.6,0.0063,0.0,0.64,0.56,6,0,1,0,0
0.22,0.113,0.57,0.43,0.0,89.42,1712920001712,45.0,45.0,1,45,2.5,0,0,0.0,0,120.0,0.035,4050,2.3219,3,0.3809,0.7,0.0062,0.0,0.6,0.68,12,0,1,0,0
0.22,0.113,0.71,0.29,0.0,55.21,599042857739,25.0,25.0,1,45,1.5,0,0,0.0,0,360.0,0.0127,1250,2.3219,2,0.416,1.0,0.0055,0.0,0.38,0.43,6,0,1,0,0
2.0,0.267,0.73,0.27,0.0,51.78,1167850001166,25.0,25.0,1,45,2.0,0,0,0.0,0,180.0,0.0133,1250,2.3219,3,0.3564,1.0,0.006,0.0,0.61,0.43,4,1,0,0,0
2.0,0.267,0.67,0.0,0.33,83.98,3041920003041,25.0,25.0,1,15,2.0,0,0,0.0,0,180.0,0.0091,1250,2.3219,2,0.6036,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0
2.0,0.267,0.4,0.6,0.0,75.1,1424186668089,25.0,25.0,1,15,2.5,0,0,0.0,0,180.0,0.0121,1250,2.3219,2,0.4392,0.0,0.0,1.0,0.66,0.52,6,1,0,0,0
0.22,0.113,0.77,0.23,0.0,108.71,1263626667929,35.0,35.0,1,15,2.0,0,0,0.0,0,360.0,0.0135,2450,2.3219,2,0.69,1.0,0.0013,0.0,0.58,0.42,9,0,1,0,0
0.22,0.113,0.0,1.0,0.0,611.28,5789100005781,35.0,35.0,1,45,1.5,0,0,0.0,0,360.0,0.0213,2450,2.3219,3,0.4733,0.7,0.008,0.0,0.59,0.53,9,0,0,1,0
0.22,0.113,0.0,1.0,0.0,572.97,5680400005684,25.0,25.0,1,15,1.5,0,0,0.0,0,360.0,0.0103,1250,2.3219,1,0.572,0.0,0.0,1.0,0.34,0.35,2,0,0,1,0
2.0,0.267,0.93,0.03,0.03,100.85,832703334163,25.0,25.0,1,30,2.0,0,0,0.0,0,180.0,0.0126,1250,2.3219,3,0.4124,1.0,0.0113,0.0,0.0,0.0,0,0,1,0,0
2.0,0.267,0.27,0.0,0.73,239.03,5328840005327,35.0,35.0,1,70,1.5,0,0,0.0,0,166.1538,0.0228,2450,2.3219,11,0.4198,0.5,0.0084,0.0,0.0,0.0,0,0,0,1,0
1.1,0.625,0.43,0.57,0.0,158.57,2071440002069,45.0,45.0,1,30,1.5,0,0,0.0,0,333.3333,0.0252,4050,2.3219,5,0.616,0.6,0.0132,0.0,0.7,0.64,4,0,0,1,0
1.1,0.625,1.0,0.0,0.0,4.44,10400000014,25.0,25.0,1,15,1.5,0,0,0.0,0,360.0,0.0087,1250,2.3219,1,0.6452,0.0,0.0,1.0,0.58,0.53,6,0,0,1,0
0.22,0.113,0.76,0.24,0.0,93.33,1540786208435,25.0,25.0,1,15,2.0,0,0,0.0,0,360.0,0.0112,1250,2.3219,1,0.502,0.0,0.0,1.0,0.6,0.34,4,1,0,0,0
1.1,0.625,0.37,0.63,0.0,129.91,2106880002105,45.0,45.0,1,45,2.0,0,0,0.0,0,193.8462,0.0346,4050,2.3219,11,0.4256,0.5,0.0116,0.0,0.6,0.7,8,0,0,1,0
1.1,0.625,0.66,0.34,0.0,36.68,683420690338,25.0,25.0,1,45,2.0,0,0,0.0,0,120.0,0.0145,1250,2.3219,5,0.2576,0.4,0.0087,0.0,0.64,0.54,4,0,0,1,0
2.0,0.267,0.47,0.53,0.0,157.06,1091200001090,35.0,35.0,1,70,2.0,0,0,0.0,0,180.0,0.0248,2450,2.3219,8,0.3376,0.4,0.0091,0.0,0.67,0.44,9,0,1,0,0
2.0,0.267,0.48,0.52,0.0,40.11,338941379649,25.0,25.0,1,15,1.5,0,0,0.0,0,180.0,0.0104,1250,2.3219,2,0.5784,1.0,0.0002,0.0,0.22,0.61,4,0,1,0,0
1.1,0.625,0.62,0.38,0.0,94.48,2092872415883,35.0,35.0,1,70,2.5,0,0,0.0,0,180.0,0.0282,2450,2.3219,6,0.2194,0.7,0.0069,0.0,0.52,0.64,3,1,0,0,0
2.0,0.267,0.17,0.73,0.1,356.39,4587200004586,35.0,35.0,1,45,2.0,0,0,0.0,0,180.0,0.0244,2450,2.3219,5,0.3724,0.4,0.0094,0.0,0.51,0.55,6,0,0,1,0
0.22,0.113,0.9,0.1,0.0,69.82,1309853334641,25.0,25.0,1,45,2.5,0,0,0.0,0,180.0,0.0152,1250,2.3219,2,0.2248,0.0,0.0,1.0,0.57,0.58,4,1,0,0,0
0.22,0.113,0.43,0.57,0.0,76.53,1442416668106,25.0,25.0,1,15,1.5,0,0,0.0,0,180.0,0.0095,1250,2.3219,2,0.6116,0.0,0.0,1.0,0.69,0.7,4,1,0,0,0
0.22,0.113,0.53,0.47,0.0,128.74,2665390002662,45.0,45.0,1,70,2.0,0,0,0.0,0,315.0,0.037,4050,2.3219,11,0.3809,0.5,0.0125,0.0,0.52,0.51,8,1,0,0,0
2.0,0.267,0.57,0.4,0.03,110.73,2593310002593,35.0,35.0,1,15,2.0,0,0,0.0,0,120.0,0.0148,2450,2.3219,3,0.6367,0.7,0.0052,0.0,0.52,0.59,6,0,0,1,0
1.1,0.625,0.28,0.69,0.03,72.65,2865724140795,45.0,45.0,1,70,1.5,0,0,0.0,0,231.4286,0.0338,4050,2.3219,20,0.4567,0.5,0.0095,0.0,0.59,0.66,8,1,0,0,0
0.22,0.113,0.73,0.27,0.0,95.5,1844530001843,35.0,35.0,1,30,2.5,0,0,0.0,0,90.0,0.0221,2450,2.3219,4,0.4192,0.5,0.006,0.0,0.65,0.73,3,1,0,0,0
2.0,0.267,1.0,0.0,0.0,13.73,269500000265,35.0,35.0,1,15,1.5,0,0,0.0,0,240.0,0.0136,2450,2.3219,3,0.6865,1.0,0.0077,0.0,0.65,0.55,3,0,0,1,0
0.22,0.113,0.43,0.57,0.0,65.49,1551410001549,25.0,25.0,1,45,1.5,0,0,0.0,0,240.0,0.0136,1250,2.3219,3,0.3612,1.0,0.0071,0.0,0.4,0.63,6,1,0,0,0
0.22,0.113,0.41,0.59,0.0,298.23,3659434486416,35.0,35.0,1,70,1.5,0,0,0.0,0,216.0,0.026,2450,2.3219,9,0.318,0.6,0.0093,0.0,0.3,0.75,3,0,0,1,0
0.22,0.113,0.8,0.2,0.0,112.95,2532490002530,45.0,45.0,1,70,2.0,0,0,0.0,0,288.0,0.0342,4050,2.3219,10,0.4216,0.6,0.0103,0.0,0.0,0.0,0,1,0,0,0
1.1,0.625,0.57,0.43,0.0,45.28,761760000759,25.0,25.0,1,70,1.5,0,0,0.0,0,180.0,0.0156,1250,2.3219,4,0.2552,0.5,0.0102,0.0,0.56,0.59,4,0,1,0,0
0.22,0.113,0.96,0.0,0.04,35.16,675515385288,25.0,25.0,1,70,2.0,0,0,0.0,0,180.0,0.0155,1250,2.3219,2,0.2168,0.0,0.0,1.0,0.89,0.26,2,0,0,0,1
0.22,0.113,0.77,0.23,0.0,50.54,1126933334459,45.0,45.0,1,45,2.5,0,0,0.0,0,270.0,0.0331,4050,2.3219,8,0.443,0.2,0.0081,0.0,0.58,0.6,8,0,0,0,1
0.22,0.113,1.0,0.0,0.0,58.36,993528572421,45.0,45.0,1,70,2.5,0,0,0.0,0,240.0,0.0369,4050,2.3219,8,0.3356,0.5,0.0114,0.0,0.0,0.0,0,0,0,0,1
0.22,0.113,0.43,0.57,0.0,76.3,1843360001840,45.0,45.0,1,45,1.5,0,0,0.0,0,216.0,0.0277,4050,2.3219,5,0.576,0.6,0.0092,0.0,0.61,0.52,12,0,0,0,1
0.22,0.113,1.0,0.0,0.0,33.94,657163333988,45.0,45.0,1,15,2.5,0,0,0.0,0,180.0,0.0181,4050,2.3219,6,0.727,0.7,0.0086,0.0,0.0,0.0,0,0,0,0,1
0.22,0.113,1.0,0.0,0.0,51.02,1028675863095,45.0,45.0,1,70,2.5,0,0,0.0,0,180.0,0.0382,4050,2.3219,8,0.3253,0.2,0.0085,0.0,0.0,0.0,0,0,0,0,1
0.22,0.113,0.5,0.5,0.0,59.67,1279890001278,45.0,45.0,1,45,1.5,0,0,0.0,0,240.0,0.0286,4050,2.3219,6,0.566,0.3,0.0058,0.0,0.64,0.67,8,0,0,0,1
0.22,0.113,0.53,0.43,0.03,52.96,1078766667743,35.0,35.0,1,30,2.0,0,0,0.0,0,360.0,0.0187,2450,2.3219,1,0.5406,0.0,0.0,1.0,0.57,0.66,9,0,0,0,1
0.22,0.113,0.83,0.17,0.0,52.74,1110503334442,35.0,35.0,1,70,1.5,0,0,0.0,0,261.8182,0.0241,2450,2.3219,10,0.3759,0.6,0.0106,0.0,0.43,0.53,6,0,0,0,1
0.22,0.113,0.6,0.4,0.0,32.44,720066667384,25.0,25.0,1,70,2.0,0,0,0.0,0,180.0,0.0145,1250,2.3219,3,0.2724,1.0,0.0067,0.0,0.55,0.68,6,0,0,0,1
0.22,0.113,0.73,0.27,0.0,61.0,1508120001506,45.0,45.0,1,45,2.0,0,0,0.0,0,360.0,0.031,4050,2.3219,3,0.4909,0.7,0.0093,0.0,0.76,0.57,4,0,0,0,1
0.22,0.113,0.69,0.31,0.0,51.2,1127848276989,35.0,35.0,1,15,2.5,0,0,0.0,0,360.0,0.0183,2450,2.3219,1,0.5359,0.0,0.0,1.0,0.45,0.5,9,0,0,0,1
0.22,0.113,0.79,0.21,0.0,43.58,728283334061,35.0,35.0,1,15,2.0,0,0,0.0,0,180.0,0.0152,2450,2.3219,2,0.6296,0.0,0.0,1.0,0.65,0.56,3,0,0,0,1
