robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
2.0,0.267,0.81,0.19,0.0,36.02,327970370696,25.0,25.0,1,15,2.5,0,0,0.0,0,360.0,0.0101,1250,2.3219,1,0.5524,0.0,0.0,1.0,0.31,0.64,4,0,1,0,0
1.1,0.625,0.48,0.52,0.0,61.41,1371586208266,35.0,35.0,1,45,2.5,0,0,0.0,0,135.0,0.0261,2450,2.3219,8,0.2906,0.4,0.0105,0.0,0.48,0.62,6,0,1,0,0
2.0,0.267,1.0,0.0,0.0,39.25,363263333695,35.0,35.0,1,70,2.5,0,0,0.0,0,270.0,0.0265,2450,2.3219,4,0.2584,0.5,0.0065,0.0,0.0,0.0,0,0,1,0,0
2.0,0.267,0.92,0.08,0.0,33.88,299630769530,25.0,25.0,1,70,2.5,0,0,0.0,0,360.0,0.016,1250,2.3219,1,0.1968,0.0,0.0,1.0,0.22,0.83,2,0,1,0,0
1.1,0.625,0.5,0.5,0.0,173.5,1612560001611,45.0,45.0,1,15,2.5,0,0,0.0,0,180.0,0.0261,4050,2.3219,2,0.5728,0.0,0.0,1.0,0.6,0.47,4,0,1,0,0
1.1,0.625,0.37,0.63,0.0,83.08,1727860001726,45.0,45.0,1,30,2.5,0,0,0.0,0,360.0,0.0307,4050,2.3219,1,0.5004,0.0,0.0,1.0,0.52,0.53,12,0,1,0,0
1.1,0.625,0.59,0.41,0.0,51.34,1346181819526,35.0,35.0,1,30,1.5,0,0,0.0,0,180.0,0.0194,2450,2.3219,4,0.539,0.8,0.0082,0.0,0.79,0.46,3,0,1,0,0
2.0,0.267,1.0,0.0,0.0,50.28,507168966023,45.0,45.0,1,70,2.5,0,0,0.0,0,240.0,0.0391,4050,2.3219,5,0.2922,0.6,0.0099,0.0,0.0,0.0,0,0,1,0,0
1.1,0.625,0.55,0.28,0.17,127.31,2396889657569,45.0,45.0,1,70,2.0,0,0,0.0,0,154.2857,0.036,4050,2.3219,7,0.3869,0.6,0.007,0.0,0.0,0.0,0,0,1,0,0
2.0,0.267,0.75,0.25,0.0,68.43,734250000733,45.0,45.0,1,15,2.5,0,0,0.0,0,360.0,0.0237,4050,2.3219,1,0.6347,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0
1.1,0.625,0.75,0.25,0.0,70.18,672257143527,25.0,25.0,1,70,2.0,0,0,0.0,0,270.0,0.0161,1250,2.3219,3,0.2048,0.7,0.0059,0.0,0.44,0.5,4,0,1,0,0
