average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,occupancy_ratio,indoor_map_type
0.0,0.0,0,0.3008,1
0.51,0.33,4,0.4532,1
0.39,0.53,6,0.4159,1
0.53,0.56,8,0.4302,1
0.46,0.64,2,0.2796,1
0.41,0.5,6,0.3144,1
0.51,0.69,3,0.6976,1
0.55,0.63,4,0.4746,1
0.54,0.61,12,0.2979,1
0.51,0.85,3,0.7233,1
0.55,0.53,12,0.422,1
0.52,0.5,6,0.2976,1
0.58,0.53,12,0.3952,1
0.54,0.7,4,0.4852,1
0.52,0.58,4,0.6519,1
0.57,0.47,6,0.4192,1
0.41,0.57,6,0.4992,1
0.0,0.0,0,0.4164,1
0.48,0.58,4,0.4998,1
0.68,0.5,6,0.6484,1
0.57,0.7,12,0.3596,1
0.51,0.55,12,0.6619,1
0.59,0.61,6,0.6437,1
0.0,0.0,0,0.394,1
0.0,0.0,0,0.3302,1
0.73,0.49,6,0.3363,1
0.48,0.65,3,0.3139,1
0.64,0.67,9,0.4831,1
0.63,0.71,6,0.3516,1
0.63,0.51,12,0.4869,1
0.54,0.43,6,0.6598,1
0.0,0.0,0,0.5131,1
0.0,0.0,0,0.2672,1
0.0,0.0,0,0.7411,1
0.34,0.64,4,0.5648,1
0.0,0.0,0,0.476,1
0.0,0.0,0,0.2655,1
0.46,0.34,4,0.2556,1
0.53,0.54,9,0.3686,1
0.0,0.0,0,0.3016,1
0.58,0.5,12,0.6505,1
0.46,0.57,12,0.6017,1
0.5,0.57,8,0.5526,1
0.59,0.62,2,0.2124,1
0.76,0.56,6,0.3333,1
0.0,0.0,0,0.2959,1
0.59,0.68,2,0.3616,1
0.52,0.65,6,0.2332,1
0.58,0.45,3,0.5949,1
0.6,0.45,4,0.43,1
0.0,0.0,0,0.3977,1
0.51,0.37,4,0.5144,1
0.0,0.0,0,0.3072,1
0.67,0.6,4,0.3637,1
0.54,0.56,6,0.6456,1
0.63,0.53,6,0.3965,1
0.62,0.64,4,0.2848,1
0.34,0.54,6,0.5516,1
0.0,0.0,0,0.3024,1
0.92,0.65,2,0.1816,1
0.0,0.0,0,0.506,1
0.0,0.0,0,0.5598,1
0.53,0.67,9,0.7439,1
0.57,0.8,4,0.6148,1
0.61,0.39,9,0.3365,1
0.72,0.24,2,0.6024,1
0.65,0.42,4,0.5589,1
0.66,0.52,2,0.3808,1
0.57,0.61,6,0.3488,1
0.55,0.64,12,0.5564,1
0.49,0.51,9,0.5176,1
0.62,0.52,4,0.516,1
0.46,0.38,4,0.388,1
0.65,0.5,12,0.4264,1
0.0,0.0,0,0.5033,1
0.0,0.0,0,0.349,1
0.58,0.67,4,0.2288,1
0.7,0.63,2,0.44,1
0.68,0.2,4,0.4904,1
0.51,0.62,9,0.2296,1
0.58,0.72,9,0.6292,1
0.5,0.46,4,0.2116,1
0.0,0.0,0,0.6856,1
0.4,0.71,4,0.614,1
0.64,0.54,6,0.7078,1
0.4,0.54,4,0.7607,1
0.43,0.52,6,0.559,1
0.0,0.0,0,0.2888,1
0.0,0.0,0,0.6519,1
0.62,0.37,9,0.5694,1
0.55,0.51,6,0.2968,1
0.0,0.0,0,0.3104,1
0.58,0.56,8,0.6789,1
0.51,0.36,3,0.4949,1
0.0,0.0,0,0.2384,1
0.58,0.56,9,0.5149,1
0.49,0.46,8,0.4706,1
0.41,0.52,4,0.514,1
0.5,0.46,8,0.2936,1
0.0,0.0,0,0.3264,1
0.0,0.0,0,0.4978,1
0.6,0.57,12,0.6644,1
0.49,0.56,8,0.6967,1
0.0,0.0,0,0.4419,1
0.61,0.43,4,0.4949,1
0.37,0.49,4,0.6053,1
0.58,0.38,8,0.6385,1
0.62,0.54,9,0.3163,1
0.68,0.68,6,0.3204,1
0.46,0.38,6,0.24,1
0.54,0.46,3,0.6367,1
0.44,0.71,6,0.5506,1
0.54,0.58,12,0.3347,1
