average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,occupancy_ratio,indoor_map_type
0.64,0.77,3,0.3249,1
0.44,0.71,4,0.4542,1
0.5,0.62,6,0.29,1
0.29,0.44,2,0.2516,1
0.56,0.69,4,0.3449,1
0.53,0.72,4,0.5898,1
0.46,0.63,6,0.4744,1
0.6,0.65,4,0.4344,1
0.87,0.73,2,0.4708,1
0.79,0.68,2,0.2804,1
0.0,0.0,0,0.7596,1
0.0,0.0,0,0.4788,1
0.0,0.0,0,0.643,1
0.56,0.54,12,0.3414,1
0.0,0.0,0,0.3524,1
0.56,0.55,8,0.3122,1
0.54,0.64,6,0.4036,1
0.66,0.49,6,0.2444,1
0.35,0.64,9,0.3022,1
0.6,0.71,9,0.609,1
0.68,0.53,4,0.6777,1
0.32,0.47,2,0.5124,1
0.55,0.62,3,0.2408,1
0.63,0.51,6,0.2468,1
0.0,0.0,0,0.5557,1
0.0,0.0,0,0.4935,1
0.5,0.48,6,0.2656,1
0.0,0.0,0,0.29,1
0.56,0.77,12,0.4957,1
0.34,0.63,4,0.5517,1
0.54,0.43,4,0.4998,1
0.0,0.0,0,0.3776,1
0.58,0.83,2,0.598,1
0.4,0.49,9,0.352,1
0.62,0.43,12,0.5373,1
0.57,0.54,9,0.5273,1
0.72,0.6,3,0.3588,1
0.42,0.36,9,0.6484,1
0.0,0.0,0,0.4968,1
0.63,0.61,8,0.4198,1
0.48,0.65,3,0.3745,1
0.56,0.54,6,0.2156,1
0.42,0.66,12,0.4925,1
0.47,0.4,6,0.3124,1
0.0,0.0,0,0.3721,1
0.5,0.66,6,0.2704,1
0.0,0.0,0,0.3443,1
0.53,0.52,9,0.2984,1
0.0,0.0,0,0.4291,1
0.46,0.46,6,0.3804,1
0.61,0.76,3,0.362,1
0.44,0.55,6,0.2886,1
0.38,0.77,4,0.5053,1
0.0,0.0,0,0.3056,1
0.73,0.46,6,0.259,1
0.0,0.0,0,0.4064,1
0.41,0.56,8,0.6752,1
0.0,0.0,0,0.6122,1
0.6,0.55,12,0.3251,1
0.32,0.53,2,0.2984,1
0.0,0.0,0,0.2469,1
0.0,0.0,0,0.4946,1
0.0,0.0,0,0.3775,1
0.0,0.0,0,0.4496,1
0.69,0.52,9,0.5371,1
0.57,0.56,9,0.5049,1
0.59,0.59,4,0.6926,1
0.51,0.76,6,0.3656,1
0.0,0.0,0,0.4567,1
0.51,0.68,6,0.2516,1
0.52,0.62,4,0.2436,1
0.0,0.0,0,0.2924,1
0.41,0.66,8,0.523,1
0.56,0.67,2,0.2608,1
0.76,0.44,2,0.2876,1
0.47,0.52,2,0.1648,1
0.69,0.57,3,0.462,1
0.0,0.0,0,0.3172,1
0.5,0.62,9,0.4684,1
0.64,0.51,4,0.3675,1
0.55,0.71,8,0.5421,1
0.68,0.58,6,0.3688,1
0.5,0.58,6,0.3524,1
0.0,0.0,0,0.4736,1
0.0,0.0,0,0.6206,1
0.67,0.47,4,0.4812,1
0.76,0.31,4,0.6619,1
0.73,0.45,12,0.4554,1
0.41,0.38,3,0.4188,1
0.61,0.53,9,0.6012,1
0.62,0.67,8,0.7485,1
0.59,0.63,8,0.654,1
0.0,0.0,0,0.3871,1
0.0,0.0,0,0.4868,1
0.0,0.0,0,0.508,1
0.51,0.66,6,0.2964,1
0.64,0.63,2,0.3676,1
0.32,0.63,9,0.702,1
0.0,0.0,0,0.3688,1
0.0,0.0,0,0.4272,1
0.65,0.5,4,0.6477,1
0.54,0.55,9,0.2492,1
0.62,0.52,6,0.5571,1
0.59,0.62,9,0.652,1
0.45,0.65,8,0.3326,1
0.43,0.55,8,0.5602,1
0.56,0.75,2,0.5088,1
0.73,0.7,3,0.6259,1
0.34,0.77,3,0.4759,1
0.73,0.63,4,0.3808,1
0.61,0.54,12,0.5331,1
0.0,0.0,0,0.5549,1
0.53,0.48,3,0.6898,1
0.91,0.56,2,0.3576,1
0.5,0.71,2,0.2204,1
0.0,0.0,0,0.5214,1
0.64,0.65,3,0.6857,1
0.0,0.0,0,0.4899,1
0.46,0.58,2,0.666,1
0.62,0.53,12,0.5635,1
0.7,0.68,4,0.7315,1
0.0,0.0,0,0.5663,1
0.36,0.61,2,0.308,1
0.46,0.76,4,0.6052,1
0.62,0.58,4,0.4144,1
0.56,0.47,8,0.6719,1
0.3,0.51,3,0.2608,1
0.57,0.63,2,0.4272,1
0.59,0.53,12,0.6584,1
0.0,0.0,0,0.4364,1
0.54,0.61,3,0.4429,1
0.0,0.0,0,0.6026,1
0.0,0.0,0,0.4012,1
0.5,0.61,6,0.3461,1
0.58,0.82,6,0.2736,1
0.0,0.0,0,0.3857,1
0.46,0.63,8,0.5236,1
0.0,0.0,0,0.4836,1
0.46,0.5,3,0.5671,1
0.56,0.51,3,0.3582,1
0.58,0.61,3,0.4333,1
0.66,0.76,4,0.4021,1
0.44,0.59,9,0.6924,1
0.0,0.0,0,0.2092,1
0.48,0.67,4,0.5495,1
0.61,0.46,4,0.2664,1
0.61,0.57,8,0.4114,1
0.32,0.46,4,0.4428,1
0.54,0.41,4,0.2124,1
0.58,0.51,4,0.6244,1
0.49,0.69,12,0.5468,1
0.0,0.0,0,0.4151,1
0.76,0.38,6,0.461,1
0.43,0.49,4,0.7122,1
0.0,0.0,0,0.7264,1
0.0,0.0,0,0.494,1
0.6,0.45,6,0.3812,1
0.0,0.0,0,0.3661,1
0.59,0.56,12,0.7641,1
0.37,0.53,2,0.344,1
0.0,0.0,0,0.2504,1
0.56,0.55,2,0.3096,1
0.16,0.36,2,0.3708,1
0.0,0.0,0,0.3367,1
0.31,0.34,6,0.4404,1
0.41,0.6,2,0.3856,1
0.39,0.55,4,0.4867,1
0.49,0.46,6,0.2168,1
0.8,0.6,6,0.2331,1
0.7,0.61,8,0.4307,1
0.41,0.28,2,0.654,1
0.41,0.33,6,0.2268,1
0.61,0.87,2,0.4884,1
0.75,0.54,12,0.291,1
0.56,0.59,12,0.5594,1
0.92,0.55,2,0.5096,1
0.59,0.6,12,0.4438,1
0.69,0.52,4,0.32,1
0.51,0.53,4,0.406,1
0.57,0.71,8,0.4715,1
0.52,0.62,2,0.2204,1
0.0,0.0,0,0.7237,1
0.0,0.0,0,0.2208,1
0.63,0.55,6,0.2324,1
0.75,0.49,3,0.649,1
0.0,0.0,0,0.3837,1
0.59,0.69,2,0.2892,1
0.47,0.56,12,0.6246,1
0.73,0.62,8,0.5295,1
0.62,0.36,4,0.5724,1
0.35,0.91,3,0.5412,1
0.69,0.48,6,0.2604,1
0.63,0.58,8,0.5117,1
0.42,0.51,9,0.3543,1
0.36,0.69,2,0.4456,1
0.5,0.56,2,0.2812,1
0.38,0.66,4,0.4792,1
0.28,0.47,3,0.5459,1
0.55,0.48,4,0.2448,1
0.0,0.0,0,0.3806,1
0.0,0.0,0,0.6043,1
0.0,0.0,0,0.3662,1
0.56,0.65,3,0.3367,1
0.48,0.56,12,0.5947,1
0.54,0.53,9,0.479,1
0.58,0.44,4,0.5811,1
0.66,0.86,2,0.2548,1
0.0,0.0,0,0.479,1
0.55,0.4,9,0.5188,1
0.46,0.53,4,0.4254,1
0.49,0.48,8,0.4489,1
0.22,0.39,2,0.3596,1
0.5,0.56,3,0.3953,1
0.61,0.56,8,0.7881,1
0.44,0.5,12,0.4805,1
0.71,0.43,4,0.4406,1
0.43,0.69,3,0.699,1
0.56,0.32,3,0.428,1
0.0,0.0,0,0.4689,1
0.8,0.56,4,0.282,1
0.91,0.52,4,0.4742,1
0.61,0.56,8,0.3669,1
0.0,0.0,0,0.3912,1
0.58,0.35,6,0.4647,1
0.0,0.0,0,0.348,1
0.49,0.58,6,0.4886,1
0.6,0.57,9,0.3186,1
0.38,0.66,4,0.4731,1
0.52,0.66,8,0.5075,1
0.7,0.5,12,0.4635,1
0.38,0.8,3,0.3157,1
0.0,0.0,0,0.4712,1
0.63,0.71,2,0.2816,1
0.0,0.0,0,0.6821,1
0.34,0.49,6,0.3241,1
0.0,0.0,0,0.5993,1
0.57,0.52,6,0.3386,1
0.0,0.0,0,0.6184,1
0.92,0.46,2,0.4112,1
0.61,0.63,8,0.3804,1
0.49,0.42,3,0.3045,1
0.28,0.55,3,0.5173,1
0.0,0.0,0,0.3614,1
0.61,0.46,12,0.432,1
0.4,0.58,3,0.4214,1
0.37,0.56,3,0.3061,1
0.41,0.54,9,0.5173,1
0.0,0.0,0,0.5386,1
0.67,0.43,4,0.3664,1
0.67,0.62,8,0.4781,1
0.0,0.0,0,0.4524,1
0.0,0.0,0,0.4594,1
0.62,0.58,8,0.4004,1
0.41,0.6,8,0.3596,1
0.73,0.51,12,0.5648,1
0.46,0.58,6,0.5845,1
0.7,0.35,3,0.1992,1
0.48,0.34,6,0.3069,1
0.62,0.51,6,0.1933,1
0.0,0.0,0,0.6675,1
0.51,0.53,4,0.2441,1
0.58,0.66,12,0.6086,1
0.0,0.0,0,0.3222,1
0.64,0.9,4,0.4799,1
0.58,0.42,6,0.382,1
0.82,0.33,4,0.3644,1
0.76,0.6,6,0.2432,1
0.27,0.81,3,0.2894,1
0.56,0.65,8,0.4186,1
0.63,0.65,8,0.4389,1
0.58,0.49,6,0.5844,1
0.71,0.53,4,0.2092,1
0.0,0.0,0,0.2963,1
0.48,0.58,8,0.5401,1
0.5,0.59,6,0.6172,1
0.44,0.73,2,0.5332,1
0.0,0.0,0,0.392,1
0.0,0.0,0,0.2244,1
0.98,0.79,2,0.2936,1
0.57,0.52,3,0.391,1
0.57,0.17,2,0.5112,1
0.6,0.49,8,0.3853,1
0.43,0.49,4,0.3516,1
0.69,0.58,9,0.4553,1
0.0,0.0,0,0.2953,1
0.0,0.0,0,0.6669,1
0.41,0.44,2,0.6148,1
0.53,0.63,4,0.5648,1
0.47,0.45,3,0.6935,1
0.67,0.68,3,0.2388,1
0.55,0.58,8,0.758,1
0.49,0.49,12,0.584,1
0.0,0.0,0,0.3924,1
0.67,0.49,8,0.6831,1
0.83,0.56,2,0.2952,1
0.53,0.45,6,0.3416,1
0.0,0.0,0,0.6435,1
0.83,0.4,4,0.4216,1
0.47,0.66,6,0.408,1
0.63,0.43,4,0.2579,1
0.0,0.0,0,0.4341,1
0.55,0.6,6,0.5586,1
0.66,0.65,4,0.7717,1
0.46,0.69,3,0.5261,1
0.61,0.79,3,0.5829,1
0.48,0.76,4,0.479,1
0.44,0.54,8,0.7291,1
0.59,0.55,12,0.6317,1
0.0,0.0,0,0.2644,1
0.35,0.49,6,0.2524,1
0.71,0.37,6,0.3556,1
0.49,0.39,4,0.2888,1
0.0,0.0,0,0.5035,1
0.67,0.44,4,0.4468,1
0.6,0.65,9,0.52,1
0.59,0.65,9,0.5261,1
0.59,0.5,9,0.5545,1
0.39,0.65,4,0.3416,1
0.47,0.57,12,0.3285,1
0.39,0.48,4,0.5442,1
0.0,0.0,0,0.3255,1
0.57,0.49,3,0.6835,1
0.52,0.54,12,0.3457,1
0.55,0.38,2,0.2464,1
0.0,0.0,0,0.3923,1
0.78,0.47,9,0.601,1
0.51,0.6,3,0.6151,1
0.47,0.65,8,0.7364,1
0.65,0.68,6,0.3208,1
0.44,0.51,6,0.3696,1
0.65,0.62,6,0.4929,1
0.58,0.39,2,0.316,1
0.42,0.82,6,0.4465,1
0.58,0.66,8,0.5881,1
0.48,0.4,6,0.24,1
0.69,0.59,6,0.578,1
0.56,0.62,6,0.3908,1
0.48,0.42,3,0.5561,1
0.53,0.65,12,0.6702,1
0.52,0.43,6,0.2024,1
0.46,0.51,9,0.6818,1
0.43,0.62,9,0.4804,1
0.45,0.6,9,0.3673,1
0.35,0.63,6,0.5049,1
0.63,0.52,2,0.2548,1
0.0,0.0,0,0.2568,1
0.74,0.6,8,0.5589,1
0.68,0.63,8,0.7722,1
0.6,0.55,6,0.4027,1
0.73,0.49,4,0.437,1
0.56,0.38,3,0.2131,1
0.41,0.5,9,0.4286,1
0.66,0.58,8,0.6717,1
0.59,0.6,9,0.4731,1
0.47,0.63,12,0.4373,1
0.53,0.68,4,0.6889,1
0.47,0.62,3,0.3131,1
0.61,0.44,6,0.6465,1
0.48,0.55,9,0.5224,1
0.54,0.46,12,0.5853,1
0.58,0.44,4,0.5492,1
0.0,0.0,0,0.4496,1
0.62,0.55,12,0.5499,1
0.0,0.0,0,0.6162,1
0.56,0.66,8,0.3537,1
0.74,0.52,12,0.7252,1
0.0,0.0,0,0.2568,1
0.74,0.57,6,0.2932,1
0.46,0.75,9,0.2337,1
0.0,0.0,0,0.5296,1
0.45,0.45,6,0.5557,1
0.61,0.62,12,0.7046,1
0.68,0.59,6,0.6071,1
0.65,0.63,4,0.6107,1
0.56,0.6,6,0.3616,1
0.49,0.38,6,0.3492,1
0.69,0.67,8,0.2912,1
0.53,0.35,8,0.5351,1
0.93,0.6,3,0.3676,1
0.46,0.7,6,0.3253,1
0.0,0.0,0,0.6486,1
0.66,0.39,4,0.4996,1
0.42,0.62,12,0.4986,1
0.66,0.54,6,0.4533,1
0.67,0.49,6,0.4116,1
0.54,0.43,12,0.5046,1
0.53,0.48,8,0.5314,1
0.54,0.81,2,0.2244,1
0.59,0.53,6,0.2632,1
0.39,0.36,4,0.7073,1
0.49,0.61,4,0.5531,1
0.61,0.63,6,0.518,1
0.69,0.53,8,0.2922,1
0.48,0.49,8,0.3193,1
0.47,0.65,6,0.2329,1
0.62,0.66,6,0.2628,1
0.66,0.56,6,0.2908,1
0.45,0.48,6,0.3948,1
0.66,0.55,3,0.6776,1
0.57,0.5,4,0.2228,1
0.63,0.47,4,0.5614,1
0.0,0.0,0,0.3324,1
0.64,0.41,8,0.7378,1
0.52,0.59,6,0.3488,1
0.76,0.93,2,0.2176,1
0.48,0.55,12,0.5762,1
0.53,0.4,6,0.3441,1
0.56,0.49,4,0.364,1
0.28,0.42,4,0.342,1
0.58,0.55,4,0.3844,1
0.41,0.41,12,0.4017,1
0.74,0.42,4,0.6535,1
0.89,0.95,2,0.3888,1
0.54,0.38,3,0.4559,1
0.56,0.51,12,0.6525,1
0.0,0.0,0,0.2507,1
0.39,0.37,4,0.4312,1
0.45,0.57,9,0.4467,1
0.56,0.63,8,0.4738,1
0.0,0.0,0,0.3756,1
0.62,0.62,3,0.472,1
0.73,0.39,2,0.412,1
0.52,0.45,6,0.2565,1
0.41,0.7,8,0.4835,1
0.59,0.33,4,0.5377,1
0.61,0.54,2,0.22,1
0.49,0.75,9,0.4338,1
