width,height,number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity
25.0,25.0,6,0.48,1250,0.64
35.0,35.0,6,0.52,2450,0.61
35.0,35.0,6,0.6,2450,0.59
35.0,35.0,3,0.54,2450,0.67
45.0,45.0,4,0.52,4050,0.41
45.0,45.0,12,0.54,4050,0.52
25.0,25.0,6,0.52,1250,0.59
35.0,35.0,0,0.0,2450,0.0
25.0,25.0,4,0.57,1250,0.44
45.0,45.0,4,0.84,4050,0.55
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,8,0.42,4050,0.59
45.0,45.0,12,0.62,4050,0.56
45.0,45.0,8,0.64,4050,0.63
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,12,0.57,4050,0.49
45.0,45.0,8,0.53,4050,0.52
45.0,45.0,4,0.59,4050,0.46
25.0,25.0,2,0.68,1250,0.45
35.0,35.0,9,0.64,2450,0.58
25.0,25.0,6,0.6,1250,0.6
35.0,35.0,6,0.61,2450,0.51
45.0,45.0,8,0.68,4050,0.6
35.0,35.0,9,0.54,2450,0.6
25.0,25.0,0,0.0,1250,0.0
45.0,45.0,8,0.81,4050,0.62
25.0,25.0,4,0.48,1250,0.43
45.0,45.0,0,0.0,4050,0.0
25.0,25.0,2,0.81,1250,0.61
45.0,45.0,0,0.0,4050,0.0
35.0,35.0,9,0.58,2450,0.54
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,6,0.42,2450,0.55
35.0,35.0,6,0.67,2450,0.52
25.0,25.0,6,0.56,1250,0.5
35.0,35.0,6,0.58,2450,0.48
25.0,25.0,0,0.0,1250,0.0
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,8,0.68,4050,0.65
25.0,45.0,0,0.0,2250,0.0
25.0,35.0,4,0.65,1750,0.46
25.0,25.0,2,0.34,1250,0.57
25.0,35.0,0,0.0,1750,0.0
25.0,45.0,3,0.44,2250,0.61
25.0,25.0,0,0.0,1250,0.0
45.0,35.0,6,0.41,3150,0.55
25.0,45.0,6,0.48,2250,0.61
35.0,25.0,6,0.63,1750,0.65
45.0,35.0,9,0.52,3150,0.58
25.0,35.0,0,0.0,1750,0.0
25.0,45.0,9,0.63,2250,0.48
35.0,25.0,2,0.74,1750,0.96
25.0,25.0,4,0.46,1250,0.52
45.0,35.0,0,0.0,3150,0.0
45.0,35.0,0,0.0,3150,0.0
25.0,35.0,2,0.34,1750,0.4
45.0,25.0,6,0.51,2250,0.7
45.0,35.0,9,0.58,3150,0.63
25.0,25.0,4,0.47,1250,0.5
45.0,25.0,6,0.53,2250,0.43
35.0,25.0,2,0.4,1750,0.8
25.0,45.0,6,0.44,2250,0.33
45.0,45.0,4,0.68,4050,0.59
25.0,35.0,4,0.38,1750,0.54
25.0,35.0,6,0.36,1750,0.41
35.0,45.0,3,0.4,3150,0.41
45.0,45.0,0,0.0,4050,0.0
45.0,35.0,3,0.67,3150,0.57
35.0,25.0,6,0.59,1750,0.53
45.0,25.0,3,0.7,2250,0.57
35.0,25.0,4,0.37,1750,0.5
45.0,35.0,0,0.0,3150,0.0
35.0,25.0,6,0.73,1750,0.64
45.0,25.0,0,0.0,2250,0.0
35.0,35.0,0,0.0,2450,0.0
45.0,35.0,3,0.84,3150,0.85
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,8,0.65,4050,0.62
45.0,25.0,3,0.92,2250,0.54
45.0,45.0,12,0.42,4050,0.59
25.0,45.0,6,0.55,2250,0.38
35.0,35.0,9,0.51,2450,0.54
35.0,35.0,3,0.61,2450,0.46
35.0,35.0,6,0.79,2450,0.62
35.0,35.0,3,0.79,2450,0.64
45.0,45.0,12,0.56,4050,0.62
35.0,45.0,6,0.67,3150,0.42
45.0,45.0,12,0.63,4050,0.66
45.0,35.0,0,0.0,3150,0.0
25.0,25.0,0,0.0,1250,0.0
45.0,25.0,9,0.67,2250,0.61
35.0,35.0,0,0.0,2450,0.0
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,8,0.57,4050,0.59
25.0,25.0,0,0.0,1250,0.0
25.0,45.0,0,0.0,2250,0.0
35.0,25.0,0,0.0,1750,0.0
35.0,35.0,6,0.66,2450,0.5
35.0,25.0,2,0.39,1750,0.44
45.0,25.0,6,0.6,2250,0.65
25.0,45.0,0,0.0,2250,0.0
45.0,45.0,8,0.67,4050,0.59
45.0,25.0,6,0.73,2250,0.57
25.0,45.0,3,0.58,2250,0.65
45.0,35.0,6,0.49,3150,0.57
25.0,35.0,4,0.66,1750,0.62
35.0,25.0,2,0.54,1750,0.85
35.0,35.0,3,0.8,2450,0.49
45.0,35.0,6,0.44,3150,0.56
25.0,45.0,9,0.56,2250,0.77
25.0,25.0,0,0.0,1250,0.0
25.0,45.0,6,0.57,2250,0.54
45.0,35.0,3,0.53,3150,0.74
45.0,25.0,9,0.63,2250,0.58
35.0,25.0,0,0.0,1750,0.0
45.0,25.0,6,0.41,2250,0.52
35.0,35.0,0,0.0,2450,0.0
45.0,45.0,12,0.51,4050,0.6
25.0,35.0,0,0.0,1750,0.0
