width,average_obstalce_size,robot_max_speed,occupancy_ratio,height,iterations,number_dynamic_obstacles,distance_variance,num_obs_cv2,corridor_width,num_static_obstacles,distance_normalized,distance_avg,average_linear_velocity,robot_radius
25.0,0.57,0.22,0.3048,25.0,45,4,1.0,2,2.5,0,0.0,0.0,0.44,0.113
45.0,0.56,0.22,0.4179,45.0,45,8,0.0,7,2.5,0,0.4,0.0097,0.57,0.113
35.0,0.64,0.22,0.3698,35.0,45,9,0.0,6,2.0,0,0.7,0.0126,0.58,0.113
45.0,0.0,0.22,0.6423,45.0,30,0,0.0,3,1.5,0,1.0,0.009,0.0,0.113
45.0,0.84,0.22,0.5573,45.0,30,4,0.0,3,2.0,0,0.7,0.0047,0.55,0.113
35.0,0.54,0.22,0.4851,35.0,15,9,0.0,4,2.5,0,0.5,0.0037,0.6,0.113
45.0,0.55,0.22,0.6617,45.0,15,8,1.0,1,2.0,0,0.0,0.0,0.56,0.113
45.0,0.0,0.22,0.4947,45.0,45,0,0.0,4,1.5,0,0.8,0.0101,0.0,0.113
45.0,0.53,0.22,0.359,45.0,70,4,0.0,5,2.0,0,0.6,0.0081,0.62,0.113
45.0,0.73,0.22,0.5156,45.0,45,4,0.0,10,1.5,0,0.4,0.0094,0.71,0.113
35.0,0.48,0.22,0.218,35.0,70,6,0.0,8,2.5,0,0.8,0.0108,0.55,0.113
45.0,0.0,0.22,0.6599,45.0,15,0,1.0,1,2.5,0,0.0,0.0,0.0,0.113
35.0,0.73,0.22,0.5902,35.0,30,3,1.0,1,1.5,0,0.0,0.0,0.34,0.113
45.0,0.0,0.22,0.7293,45.0,15,0,1.0,2,2.0,0,0.0,0.0,0.0,0.113
45.0,0.49,0.22,0.3825,45.0,70,12,0.0,5,2.0,0,0.4,0.0098,0.51,0.113
35.0,0.45,0.22,0.5741,35.0,30,6,0.0,3,1.5,0,1.0,0.0039,0.67,0.113
35.0,0.73,0.22,0.3441,35.0,70,3,0.0,10,2.0,0,0.2,0.0102,0.63,0.113
25.0,0.4,0.22,0.2852,25.0,70,6,0.0,6,1.5,0,0.5,0.0072,0.62,0.113
45.0,0.42,0.22,0.4502,45.0,70,4,0.0001,12,1.5,0,0.5,0.0506,0.63,0.113
45.0,0.62,0.22,0.3468,45.0,70,8,0.0,10,2.0,0,0.7,0.0102,0.39,0.113
35.0,0.48,0.22,0.5782,35.0,15,6,1.0,1,2.5,0,0.0,0.0,0.49,0.113
45.0,0.56,0.22,0.6457,45.0,15,8,0.0,2,2.0,0,1.0,0.0001,0.62,0.113
35.0,0.54,0.22,0.5733,35.0,30,3,0.0,5,1.5,0,0.6,0.0045,0.44,0.113
35.0,0.57,0.22,0.3851,35.0,30,3,0.0,6,2.5,0,0.3,0.0098,0.22,0.113
35.0,0.44,0.22,0.5922,35.0,15,6,1.0,2,2.0,0,0.0,0.0,0.58,0.113
35.0,0.55,0.22,0.4559,35.0,45,6,0.0,5,1.5,0,0.4,0.008,0.55,0.113
25.0,0.0,0.22,0.45,25.0,30,0,1.0,1,2.0,0,0.0,0.0,0.0,0.113
45.0,0.55,0.22,0.6253,45.0,30,12,0.0,2,1.5,0,1.0,0.0079,0.6,0.113
45.0,0.37,0.22,0.6493,45.0,15,4,0.0,4,2.0,0,1.0,0.0115,0.59,0.113
25.0,0.48,0.22,0.3988,25.0,45,4,0.0,5,1.5,0,0.6,0.0053,0.91,0.113
45.0,0.57,0.22,0.389,45.0,70,12,0.0,17,2.0,0,0.6,0.0101,0.51,0.113
45.0,0.64,0.22,0.4759,45.0,45,12,0.0,11,2.0,0,0.5,0.0124,0.45,0.113
35.0,0.0,0.22,0.39,35.0,45,0,0.0,9,2.0,0,0.6,0.0086,0.0,0.113
45.0,0.56,1.1,0.3289,45.0,70,4,0.0,10,2.5,0,0.5,0.0086,0.66,0.625
25.0,0.0,0.22,0.2488,25.0,45,0,0.0,5,2.0,0,0.4,0.0095,0.0,0.113
25.0,0.32,2.0,0.2936,25.0,30,2,1.0,1,2.5,0,0.0,0.0,0.25,0.267
45.0,0.66,2.0,0.5863,45.0,30,8,0.0,2,2.0,0,1.0,0.0064,0.58,0.267
35.0,0.0,2.0,0.519,35.0,30,0,1.0,2,1.5,0,0.0,0.0,0.0,0.267
35.0,0.68,1.1,0.539,35.0,15,3,1.0,1,2.5,0,0.0,0.0,0.76,0.625
25.0,0.44,2.0,0.6168,25.0,15,2,1.0,2,1.5,0,0.0,0.0,0.35,0.267
35.0,0.0,1.1,0.6529,35.0,15,0,0.0,3,2.0,0,0.7,0.0047,0.0,0.625
35.0,0.43,1.1,0.4627,35.0,45,3,0.0,8,1.5,0,0.5,0.0113,0.54,0.625
35.0,0.67,2.0,0.6135,35.0,15,6,0.0,3,2.0,0,1.0,0.0046,0.58,0.267
35.0,0.63,2.0,0.2349,35.0,70,6,1.0,2,2.5,0,0.0,0.0,0.33,0.267
45.0,0.51,1.1,0.3383,45.0,45,12,0.0,12,2.5,0,0.3,0.0118,0.62,0.625
25.0,0.53,2.0,0.3768,25.0,45,4,0.0,6,1.5,0,0.3,0.0059,0.78,0.267
25.0,0.0,1.1,0.5928,25.0,15,0,1.0,2,1.5,0,0.0,0.0,0.0,0.625
35.0,0.6,1.1,0.5696,35.0,15,6,0.0,2,2.0,0,1.0,0.0001,0.5,0.625
45.0,0.61,2.0,0.4343,45.0,45,8,0.0,9,2.0,0,0.3,0.0109,0.69,0.267
45.0,0.5,2.0,0.282,45.0,70,12,0.0,12,2.5,0,0.4,0.0096,0.58,0.267
45.0,0.54,2.0,0.5186,45.0,70,12,0.0,7,1.5,0,0.9,0.0088,0.56,0.267
35.0,0.54,1.1,0.5753,35.0,15,6,1.0,2,2.5,0,0.0,0.0,0.58,0.625
25.0,0.77,2.0,0.506,25.0,30,2,0.0,4,1.5,0,1.0,0.0033,0.71,0.267
35.0,0.48,1.1,0.5163,35.0,45,3,0.0,3,1.5,0,0.3,0.0073,0.34,0.625
25.0,0.0,2.0,0.4564,25.0,30,0,0.0,2,1.5,0,1.0,0.0116,0.0,0.267
45.0,0.0,0.22,0.5121,45.0,30,0,1.0,2,2.5,0,0.0,0.0,0.0,0.113
35.0,0.57,2.0,0.4043,35.0,30,3,0.0,3,2.5,0,1.0,0.0063,0.48,0.267
35.0,0.39,1.1,0.4439,35.0,45,6,0.0,4,2.0,0,0.8,0.0066,0.51,0.625
25.0,0.69,2.0,0.2732,25.0,30,4,0.0,3,2.5,0,0.0,0.0053,0.59,0.267
