width,average_obstalce_size,robot_max_speed,occupancy_ratio,height,iterations,number_dynamic_obstacles,distance_variance,num_obs_cv2,corridor_width,num_static_obstacles,distance_normalized,distance_avg,average_linear_velocity,robot_radius
35.0,0.34,0.22,0.2257,35.0,70,3,0.0,4,2.5,0,0.5,0.0086,0.69,0.113
25.0,0.7,0.22,0.6192,25.0,15,6,0.0,4,1.5,0,0.8,0.0055,0.55,0.113
25.0,0.51,0.22,0.3592,25.0,30,6,0.0,3,2.0,0,1.0,0.0052,0.64,0.113
35.0,0.66,0.22,0.4331,35.0,30,3,1.0,1,2.5,0,0.0,0.0,0.42,0.113
25.0,0.0,0.22,0.3896,25.0,45,0,0.0,3,1.5,0,1.0,0.0075,0.0,0.113
45.0,0.88,0.22,0.7569,45.0,15,4,0.0,3,1.5,0,1.0,0.0063,0.68,0.113
45.0,0.58,0.22,0.5423,45.0,45,12,0.0,9,1.5,0,0.6,0.0147,0.61,0.113
35.0,0.0,0.22,0.3724,35.0,70,0,0.0,10,1.5,0,0.6,0.0108,0.0,0.113
25.0,0.41,0.22,0.4744,25.0,15,4,1.0,1,2.0,0,0.0,0.0,0.47,0.113
35.0,0.0,0.22,0.5049,35.0,15,0,0.0,3,2.0,0,1.0,0.009,0.0,0.113
45.0,0.56,0.22,0.414,45.0,70,4,0.0,4,2.0,0,0.2,0.0088,0.52,0.113
35.0,0.73,0.22,0.4518,35.0,30,3,0.0,3,2.5,0,1.0,0.0043,0.71,0.113
35.0,0.59,0.22,0.2714,35.0,70,3,0.0,6,2.0,0,0.5,0.0099,0.59,0.113
25.0,0.5,0.22,0.3552,25.0,45,6,0.0,6,1.5,0,0.5,0.0073,0.36,0.113
35.0,0.0,0.22,0.512,35.0,15,0,0.0,4,2.5,0,1.0,0.0097,0.0,0.113
45.0,0.0,0.22,0.2863,45.0,70,0,0.0,7,2.5,0,0.6,0.012,0.0,0.113
35.0,0.55,0.22,0.6129,35.0,30,3,0.0,4,1.5,0,0.8,0.0126,0.29,0.113
25.0,0.0,0.22,0.284,25.0,45,0,1.0,2,2.0,0,0.0,0.0,0.0,0.113
45.0,0.62,0.22,0.679,45.0,30,8,1.0,2,1.5,0,0.0,0.0,0.39,0.113
35.0,0.63,0.22,0.532,35.0,15,3,1.0,2,2.0,0,0.0,0.0,0.36,0.113
35.0,0.44,0.22,0.3892,35.0,70,6,0.0,9,1.5,0,0.3,0.0092,0.58,0.113
35.0,0.0,0.22,0.4496,35.0,45,0,0.0001,10,1.5,0,0.3,0.0322,0.0,0.113
35.0,0.79,0.22,0.3324,35.0,70,6,0.0,5,2.0,0,0.4,0.009,0.7,0.113
25.0,0.62,0.22,0.2844,25.0,45,2,0.0,7,2.0,0,0.7,0.008,0.76,0.113
35.0,0.44,0.22,0.5165,35.0,45,3,0.0,6,1.5,0,0.3,0.0068,0.38,0.113
45.0,0.41,0.22,0.3701,45.0,70,8,0.0,11,2.0,0,0.5,0.0195,0.47,0.113
35.0,0.53,0.22,0.5557,35.0,15,6,0.0,4,2.0,0,0.5,0.0063,0.51,0.113
35.0,0.0,0.22,0.4282,35.0,45,0,0.0,8,1.5,0,0.5,0.012,0.0,0.113
45.0,0.56,0.22,0.4512,45.0,70,8,0.0,13,1.5,0,0.7,0.0098,0.55,0.113
25.0,0.5,0.22,0.352,25.0,30,2,0.0,5,2.0,0,0.8,0.0084,0.65,0.113
45.0,0.51,0.22,0.2996,45.0,70,8,0.0,4,2.5,0,0.8,0.0093,0.66,0.113
45.0,0.47,0.22,0.6468,45.0,30,4,0.0,3,1.5,0,0.3,0.0115,0.46,0.113
25.0,0.0,0.22,0.5032,25.0,15,0,1.0,2,2.5,0,0.0,0.0,0.0,0.113
45.0,0.0,0.22,0.6828,45.0,30,0,1.0,2,2.0,0,0.0,0.0,0.0,0.113
45.0,0.45,0.22,0.3602,45.0,45,4,0.0,8,2.5,0,0.5,0.0108,0.61,0.113
35.0,0.47,0.22,0.2492,35.0,70,6,0.0,5,2.0,0,0.8,0.0097,0.4,0.113
45.0,0.0,0.22,0.4419,45.0,45,0,0.0,7,2.5,0,0.4,0.0092,0.0,0.113
35.0,0.38,0.22,0.5024,35.0,15,6,1.0,1,2.5,0,0.0,0.0,0.47,0.113
25.0,0.59,0.22,0.3584,25.0,45,4,0.0,6,1.5,0,0.7,0.0081,0.5,0.113
35.0,0.48,0.22,0.4312,35.0,45,9,0.0,3,2.0,0,0.3,0.007,0.39,0.113
45.0,0.51,0.22,0.4452,45.0,30,12,0.0,3,2.5,0,1.0,0.0059,0.51,0.113
35.0,0.55,0.22,0.2271,35.0,70,3,0.0,5,2.5,0,0.6,0.0097,0.57,0.113
35.0,0.75,0.22,0.3173,35.0,70,3,0.0,10,2.0,0,0.8,0.0081,0.43,0.113
25.0,0.6,0.22,0.2592,25.0,70,4,1.0,2,2.5,0,0.0,0.0,0.34,0.113
45.0,0.42,0.22,0.4381,45.0,70,8,0.0,22,1.5,0,0.6,0.0113,0.62,0.113
35.0,0.57,0.22,0.3235,35.0,70,3,0.0,5,2.0,0,0.8,0.0179,0.49,0.113
25.0,0.37,0.22,0.2492,25.0,70,4,0.0,2,2.0,0,1.0,0.0005,0.46,0.113
45.0,0.62,0.22,0.4567,45.0,70,8,0.0,15,1.5,0,0.7,0.0099,0.51,0.113
35.0,0.3,0.22,0.4039,35.0,30,3,0.0,4,2.0,0,0.8,0.0116,0.73,0.113
35.0,0.55,0.22,0.6643,35.0,15,6,1.0,2,1.5,0,0.0,0.0,0.41,0.113
35.0,0.59,0.22,0.2384,35.0,70,3,0.0,9,2.0,0,0.7,0.0073,0.69,0.113
45.0,0.69,0.22,0.4847,45.0,45,8,0.0,6,2.0,0,0.7,0.0084,0.58,0.113
35.0,0.54,0.22,0.25,35.0,70,9,1.0,1,2.5,0,0.0,0.0,0.57,0.113
25.0,0.0,0.22,0.402,25.0,15,0,1.0,2,2.5,0,0.0,0.0,0.0,0.113
45.0,0.55,0.22,0.6483,45.0,15,8,1.0,1,2.0,0,0.0,0.0,0.73,0.113
25.0,0.71,0.22,0.2472,25.0,70,4,1.0,2,2.5,0,0.0,0.0,0.39,0.113
45.0,0.4,0.22,0.5727,45.0,30,4,0.0,7,2.0,0,0.4,0.0078,0.46,0.113
45.0,0.63,0.22,0.3051,45.0,70,8,0.0,10,2.5,0,0.5,0.0108,0.48,0.113
35.0,0.49,0.22,0.2798,35.0,45,6,0.0,8,2.5,0,0.2,0.009,0.59,0.113
25.0,0.62,0.22,0.5668,25.0,15,4,0.0,3,1.5,0,1.0,0.0054,0.72,0.113
25.0,0.69,0.22,0.3676,25.0,45,2,0.0,7,1.5,0,0.7,0.0123,0.52,0.113
45.0,0.67,0.22,0.3957,45.0,70,12,0.0,10,2.0,0,0.5,0.0092,0.42,0.113
25.0,0.88,0.22,0.4516,25.0,30,2,0.0,3,1.5,0,1.0,0.0063,0.52,0.113
35.0,0.55,0.22,0.5037,35.0,15,3,0.0,4,2.5,0,1.0,0.0091,0.57,0.113
35.0,0.0,0.22,0.6476,35.0,15,0,1.0,1,2.0,0,0.0,0.0,0.0,0.113
25.0,0.58,0.22,0.4832,25.0,15,2,1.0,2,2.5,0,0.0,0.0,0.46,0.113
25.0,0.51,0.22,0.2964,25.0,70,4,0.0,4,1.5,0,1.0,0.0096,0.7,0.113
25.0,0.67,0.22,0.3112,25.0,45,4,0.0,5,1.5,0,0.6,0.0092,0.62,0.113
45.0,0.46,0.22,0.4767,45.0,30,8,0.0,2,2.5,0,1.0,0.0175,0.56,0.113
45.0,0.46,0.22,0.3585,45.0,45,12,0.0,7,2.5,0,0.6,0.0195,0.4,0.113
25.0,0.45,0.22,0.3676,25.0,45,6,0.0,11,1.5,0,0.7,0.0101,0.69,0.113
25.0,0.39,0.22,0.222,25.0,70,4,0.0,4,2.0,0,1.0,0.0059,0.23,0.113
25.0,0.0,0.22,0.2344,25.0,70,0,0.0,8,1.5,0,0.5,0.0116,0.0,0.113
45.0,0.43,0.22,0.2514,45.0,70,8,0.0,13,2.5,0,0.5,0.0096,0.66,0.113
35.0,0.0,0.22,0.5865,35.0,30,0,1.0,2,1.5,0,0.0,0.0,0.0,0.113
45.0,0.63,0.22,0.5973,45.0,30,4,0.0,3,2.0,0,1.0,0.0021,0.57,0.113
35.0,0.64,0.22,0.3153,35.0,70,9,0.0,5,2.0,0,0.4,0.0116,0.64,0.113
45.0,0.0,0.22,0.5022,45.0,30,0,0.0,4,2.5,0,0.5,0.0102,0.0,0.113
25.0,0.75,0.22,0.248,25.0,45,4,0.0,5,2.0,0,0.8,0.0084,0.66,0.113
45.0,0.51,1.1,0.4836,45.0,70,12,0.0,7,1.5,0,0.3,0.0071,0.71,0.625
25.0,0.61,0.22,0.3576,25.0,45,6,0.0,3,2.0,0,1.0,0.0106,0.63,0.113
35.0,0.56,0.22,0.398,35.0,45,3,0.0,9,2.0,0,0.2,0.0093,0.54,0.113
25.0,0.56,2.0,0.572,25.0,15,4,0.0,3,2.0,0,1.0,0.0037,0.46,0.267
45.0,0.51,2.0,0.4257,45.0,30,12,0.0,6,2.5,0,0.5,0.0138,0.48,0.267
45.0,0.0,2.0,0.5674,45.0,45,0,0.0,3,1.5,0,0.7,0.0101,0.0,0.267
35.0,0.0,0.22,0.5641,35.0,15,0,1.0,2,2.5,0,0.0,0.0,0.0,0.113
35.0,0.0,0.22,0.4755,35.0,30,0,0.0,5,2.0,0,0.4,0.0088,0.0,0.113
35.0,0.51,2.0,0.2304,35.0,70,3,0.0,3,2.5,0,0.7,0.0053,0.69,0.267
45.0,0.0,0.22,0.6919,45.0,15,0,0.0,4,2.0,0,1.0,0.0064,0.0,0.113
25.0,0.5,1.1,0.2056,25.0,70,6,1.0,2,2.5,0,0.0,0.0,0.41,0.625
35.0,0.49,2.0,0.4241,35.0,30,9,1.0,1,2.5,0,0.0,0.0,0.56,0.267
35.0,0.56,0.22,0.5098,35.0,45,6,0.0,5,1.5,0,0.6,0.0096,0.73,0.113
35.0,0.51,1.1,0.409,35.0,30,6,0.0,4,2.0,0,0.5,0.0044,0.32,0.625
45.0,0.53,0.22,0.5699,45.0,15,12,0.0,5,2.5,0,0.8,0.004,0.58,0.113
45.0,0.44,2.0,0.5422,45.0,45,12,0.0,9,1.5,0,0.3,0.017,0.66,0.267
35.0,0.56,0.22,0.4737,35.0,30,9,0.0,5,2.0,0,0.6,0.0055,0.46,0.113
35.0,0.52,1.1,0.318,35.0,70,6,0.0,5,2.0,0,0.8,0.0079,0.44,0.625
25.0,0.45,2.0,0.3684,25.0,30,4,0.0,4,2.0,0,0.5,0.0076,0.61,0.267
45.0,0.6,0.22,0.5681,45.0,30,4,0.0,7,2.0,0,0.4,0.0068,0.35,0.113
25.0,0.0,1.1,0.3984,25.0,15,0,0.0,2,2.5,0,1.0,0.006,0.0,0.625
45.0,0.61,2.0,0.7036,45.0,15,8,1.0,2,2.5,0,0.0,0.0,0.39,0.267
45.0,0.38,2.0,0.3232,45.0,70,4,0.0,6,2.5,0,0.8,0.0077,0.55,0.267
25.0,0.4,0.22,0.302,25.0,70,4,0.0,4,1.5,0,0.5,0.0036,0.54,0.113
35.0,0.61,0.22,0.4663,35.0,30,3,0.0,6,2.0,0,0.3,0.0089,0.28,0.113
35.0,0.0,0.22,0.2578,35.0,70,0,0.0,3,2.5,0,0.3,0.0123,0.0,0.113
35.0,0.65,0.22,0.321,35.0,45,6,1.0,2,2.5,0,0.0,0.0,0.63,0.113
45.0,0.4,2.0,0.5475,45.0,30,8,1.0,2,2.0,0,0.0,0.0,0.54,0.267
25.0,0.0,2.0,0.3144,25.0,45,0,1.0,2,2.0,0,0.0,0.0,0.0,0.267
25.0,0.0,1.1,0.2996,25.0,30,0,1.0,2,2.5,0,0.0,0.0,0.0,0.625
45.0,0.52,0.22,0.5368,45.0,70,12,0.0,3,1.5,0,0.7,0.0033,0.57,0.113
45.0,0.57,2.0,0.6322,45.0,15,4,0.0,4,2.0,0,0.5,0.0053,0.47,0.267
45.0,0.37,2.0,0.4705,45.0,45,8,0.0,10,2.0,0,0.8,0.0109,0.46,0.267
35.0,0.4,2.0,0.5541,35.0,30,3,0.0,4,1.5,0,0.5,0.0076,0.78,0.267
45.0,0.58,0.22,0.541,45.0,45,4,0.0,6,1.5,0,0.3,0.0092,0.66,0.113
35.0,0.45,0.22,0.5853,35.0,15,9,1.0,1,2.5,0,0.0,0.0,0.6,0.113
35.0,0.37,2.0,0.5788,35.0,30,6,1.0,1,1.5,0,0.0,0.0,0.58,0.267
45.0,0.0,2.0,0.6474,45.0,30,0,0.0,6,1.5,0,0.7,0.0042,0.0,0.267
35.0,0.47,2.0,0.3076,35.0,70,9,0.0,11,2.0,0,0.4,0.0076,0.48,0.267
35.0,0.69,0.22,0.6729,35.0,15,3,1.0,2,1.5,0,0.0,0.0,0.9,0.113
35.0,0.57,0.22,0.3206,35.0,70,6,0.0,6,2.0,0,0.5,0.0088,0.42,0.113
35.0,0.0,0.22,0.2141,35.0,70,0,0.0,2,2.5,0,1.0,0.0037,0.0,0.113
35.0,0.56,2.0,0.2443,35.0,70,6,0.0,4,2.5,0,0.8,0.0074,0.58,0.267
35.0,0.0,2.0,0.2408,35.0,70,0,1.0,1,2.5,0,0.0,0.0,0.0,0.267
45.0,0.0,0.22,0.4723,45.0,45,0,0.0,8,2.0,0,0.8,0.0112,0.0,0.113
35.0,0.53,2.0,0.3249,35.0,70,9,0.0,8,2.0,0,0.6,0.008,0.57,0.267
45.0,0.0,1.1,0.5474,45.0,45,0,0.0,6,2.0,0,0.5,0.0084,0.0,0.625
25.0,0.0,2.0,0.3124,25.0,45,0,0.0,2,2.0,0,1.0,0.0006,0.0,0.267
25.0,0.42,1.1,0.234,25.0,70,6,0.0,4,2.0,0,1.0,0.0081,0.54,0.625
35.0,0.72,1.1,0.7049,35.0,15,6,1.0,2,1.5,0,0.0,0.0,0.53,0.625
25.0,0.78,2.0,0.2768,25.0,45,6,0.0,4,2.0,0,0.5,0.0053,0.63,0.267
25.0,0.0,2.0,0.4208,25.0,45,0,0.0,5,1.5,0,0.8,0.0067,0.0,0.267
45.0,0.73,2.0,0.7519,45.0,15,12,0.0,4,2.0,0,0.5,0.0063,0.56,0.267
25.0,0.56,2.0,0.3292,25.0,45,4,1.0,2,2.5,0,0.0,0.0,0.74,0.267
45.0,0.64,1.1,0.303,45.0,70,4,0.0,12,2.5,0,0.5,0.0101,0.65,0.625
35.0,0.0,1.1,0.3533,35.0,45,0,0.0,5,2.5,0,0.8,0.0035,0.0,0.625
35.0,0.52,0.22,0.4155,35.0,70,3,0.0,8,1.5,0,0.8,0.0095,0.62,0.113
25.0,0.59,1.1,0.348,25.0,45,4,0.0,4,1.5,0,0.5,0.0066,0.62,0.625
45.0,0.0,0.22,0.3175,45.0,70,0,0.0,9,2.5,0,0.7,0.0093,0.0,0.113
25.0,0.66,1.1,0.4828,25.0,15,4,1.0,2,2.5,0,0.0,0.0,0.85,0.625
25.0,0.78,2.0,0.25,25.0,30,2,0.0,5,2.0,0,0.6,0.0085,0.61,0.267
25.0,0.86,1.1,0.482,25.0,15,2,0.0,2,2.5,0,1.0,0.0002,0.22,0.625
45.0,0.62,1.1,0.581,45.0,30,12,1.0,1,2.0,0,0.0,0.0,0.55,0.625
45.0,0.56,2.0,0.4033,45.0,45,8,0.0,2,2.5,0,1.0,0.0132,0.56,0.267
25.0,0.26,2.0,0.2636,25.0,70,2,0.0,8,1.5,0,0.2,0.0073,0.57,0.267
45.0,0.5,2.0,0.551,45.0,15,8,0.0,4,2.5,0,1.0,0.0073,0.59,0.267
25.0,0.7,0.22,0.2424,25.0,45,6,0.0,3,2.5,0,1.0,0.0082,0.61,0.113
35.0,0.0,0.22,0.3449,35.0,70,0,0.0,9,2.0,0,0.6,0.0126,0.0,0.113
35.0,0.49,0.22,0.4886,35.0,30,6,0.0,5,2.0,0,0.2,0.0098,0.59,0.113
35.0,0.0,2.0,0.3673,35.0,70,0,0.0,7,1.5,0,0.7,0.0096,0.0,0.267
35.0,0.78,2.0,0.3649,35.0,70,6,0.0,13,1.5,0,0.5,0.0165,0.64,0.267
25.0,0.7,0.22,0.3372,25.0,30,2,0.0,7,2.0,0,0.4,0.0072,0.94,0.113
45.0,0.0,2.0,0.7427,45.0,15,0,1.0,2,1.5,0,0.0,0.0,0.0,0.267
25.0,0.0,2.0,0.2952,25.0,70,0,0.0,5,1.5,0,0.4,0.0061,0.0,0.267
25.0,0.56,2.0,0.5276,25.0,15,2,0.0,4,1.5,0,0.5,0.0056,0.53,0.267
45.0,0.71,1.1,0.274,45.0,70,12,0.0,9,2.5,0,0.4,0.0129,0.59,0.625
25.0,0.0,1.1,0.5256,25.0,15,0,0.0,3,2.0,0,0.7,0.0041,0.0,0.625
35.0,0.51,1.1,0.3631,35.0,70,6,0.0,17,1.5,0,0.3,0.0117,0.57,0.625
25.0,0.56,2.0,0.4076,25.0,30,4,0.0,5,2.0,0,0.4,0.0105,0.55,0.267
45.0,0.63,1.1,0.3053,45.0,70,8,0.0,5,2.5,0,0.6,0.009,0.54,0.625
25.0,0.45,1.1,0.4492,25.0,15,2,1.0,2,2.5,0,0.0,0.0,0.48,0.625
45.0,0.67,1.1,0.6053,45.0,30,8,0.0,8,1.5,0,0.5,0.0081,0.45,0.625
35.0,0.47,2.0,0.3888,35.0,45,6,0.0,11,2.0,0,0.6,0.0099,0.81,0.267
45.0,0.6,0.22,0.671,45.0,30,12,0.0,2,1.5,0,1.0,0.0258,0.49,0.113
35.0,0.0,1.1,0.3714,35.0,45,0,0.0,10,2.0,0,0.4,0.0096,0.0,0.625
45.0,0.0,2.0,0.4705,45.0,45,0,0.0,7,2.0,0,0.6,0.0057,0.0,0.267
25.0,0.52,0.22,0.4748,25.0,15,4,1.0,1,2.0,0,0.0,0.0,0.54,0.113
45.0,0.0,2.0,0.3574,45.0,70,0,0.0,5,2.0,0,0.4,0.0069,0.0,0.267
25.0,0.66,2.0,0.3568,25.0,30,6,0.0,4,2.0,0,1.0,0.0053,0.4,0.267
45.0,0.0,2.0,0.29,45.0,70,0,0.0,11,2.5,0,0.5,0.0099,0.0,0.267
25.0,0.52,2.0,0.308,25.0,30,4,1.0,2,2.5,0,0.0,0.0,0.47,0.267
45.0,0.65,0.22,0.4565,45.0,70,4,0.0,12,1.5,0,0.5,0.0109,0.73,0.113
25.0,0.77,2.0,0.3252,25.0,45,2,0.0,8,1.5,0,0.5,0.0109,0.59,0.267
45.0,0.51,1.1,0.367,45.0,70,8,0.0,13,2.0,0,0.5,0.0124,0.6,0.625
45.0,0.4,1.1,0.4349,45.0,45,8,0.0,8,2.0,0,0.5,0.0082,0.62,0.625
45.0,0.55,1.1,0.6493,45.0,15,8,1.0,1,2.0,0,0.0,0.0,0.53,0.625
25.0,0.41,0.22,0.2316,25.0,70,2,1.0,2,2.5,0,0.0,0.0,0.26,0.113
35.0,0.55,2.0,0.4751,35.0,15,9,0.0,6,2.5,0,0.7,0.0089,0.61,0.267
35.0,0.0,1.1,0.4443,35.0,30,0,1.0,2,2.5,0,0.0,0.0,0.0,0.625
45.0,0.66,2.0,0.5519,45.0,30,8,0.0,7,2.0,0,0.3,0.0131,0.48,0.267
35.0,0.45,0.22,0.5618,35.0,15,9,0.0,6,2.5,0,0.7,0.0046,0.51,0.113
45.0,0.62,1.1,0.3907,45.0,70,8,0.0,6,2.0,0,0.5,0.0088,0.49,0.625
45.0,0.59,1.1,0.403,45.0,45,4,0.0,3,2.5,0,1.0,0.0066,0.72,0.625
25.0,0.0,2.0,0.4936,25.0,30,0,0.0,2,1.5,0,1.0,0.0076,0.0,0.267
25.0,0.58,2.0,0.384,25.0,30,4,1.0,2,2.0,0,0.0,0.0,0.29,0.267
45.0,0.58,2.0,0.47,45.0,70,12,0.0,14,1.5,0,0.5,0.012,0.62,0.267
35.0,0.0,2.0,0.5924,35.0,15,0,1.0,2,2.5,0,0.0,0.0,0.0,0.267
45.0,0.0,0.22,0.2931,45.0,70,0,0.0,10,2.5,0,0.4,0.0112,0.0,0.113
35.0,0.55,1.1,0.4371,35.0,45,9,0.0,5,1.5,0,0.4,0.0078,0.68,0.625
45.0,0.0,2.0,0.4053,45.0,70,0,0.0,9,2.0,0,0.4,0.0096,0.0,0.267
45.0,0.46,1.1,0.3752,45.0,70,4,0.0,5,2.0,0,0.6,0.0093,0.55,0.625
45.0,0.0,0.22,0.4375,45.0,45,0,0.0,3,2.5,0,0.7,0.0045,0.0,0.113
35.0,0.32,1.1,0.3271,35.0,70,3,0.0,7,2.0,0,0.7,0.0096,0.57,0.625
35.0,0.0,0.22,0.2886,35.0,70,0,0.0,12,2.0,0,0.5,0.0104,0.0,0.113
45.0,0.49,2.0,0.3238,45.0,70,12,0.0003,10,2.5,0,0.7,0.0537,0.5,0.267
45.0,0.59,2.0,0.4242,45.0,45,8,0.0,9,2.0,0,0.4,0.0091,0.38,0.267
25.0,0.63,0.22,0.2976,25.0,45,4,0.0,4,2.0,0,1.0,0.0068,0.3,0.113
45.0,0.39,1.1,0.4477,45.0,45,4,1.0,2,2.5,0,0.0,0.0,0.46,0.625
25.0,0.54,2.0,0.4512,25.0,30,6,0.0,2,1.5,0,1.0,0.0106,0.62,0.267
35.0,0.49,2.0,0.3024,35.0,45,9,0.0,9,2.5,0,0.4,0.0095,0.58,0.267
45.0,0.64,0.22,0.6341,45.0,15,12,1.0,2,2.5,0,0.0,0.0,0.48,0.113
45.0,0.68,1.1,0.5435,45.0,30,4,0.0,4,2.0,0,0.5,0.0047,0.47,0.625
25.0,0.58,0.22,0.212,25.0,70,6,1.0,2,2.5,0,0.0,0.0,0.47,0.113
35.0,0.0,2.0,0.461,35.0,30,0,0.0,3,2.0,0,1.0,0.0078,0.0,0.267
45.0,0.61,1.1,0.6621,45.0,15,4,0.0,3,2.0,0,0.7,0.0039,0.38,0.625
35.0,0.82,1.1,0.47,35.0,45,3,0.0,4,1.5,0,0.2,0.0077,0.61,0.625
45.0,0.62,0.22,0.4074,45.0,45,8,0.0,6,2.5,0,0.8,0.0069,0.73,0.113
35.0,0.76,0.22,0.4718,35.0,45,3,0.0,3,1.5,0,0.0,0.006,0.35,0.113
25.0,0.64,0.22,0.2244,25.0,30,2,1.0,2,2.5,0,0.0,0.0,0.65,0.113
25.0,0.73,0.22,0.2864,25.0,45,6,0.0,4,2.0,0,0.5,0.0052,0.37,0.113
35.0,0.7,1.1,0.3288,35.0,45,3,0.0,3,2.5,0,1.0,0.0071,0.86,0.625
35.0,0.45,2.0,0.2012,35.0,70,9,0.0,4,2.5,0,0.5,0.008,0.54,0.267
25.0,0.57,2.0,0.2476,25.0,45,6,0.0,4,2.5,0,0.5,0.0078,0.5,0.267
45.0,0.46,0.22,0.3801,45.0,70,12,0.0,10,2.0,0,0.6,0.0109,0.58,0.113
25.0,0.59,0.22,0.194,25.0,70,4,1.0,2,2.5,0,0.0,0.0,0.36,0.113
35.0,0.56,0.22,0.6543,35.0,15,9,0.0,3,2.0,0,0.7,0.0046,0.56,0.113
25.0,0.6,2.0,0.394,25.0,30,6,0.0,7,1.5,0,0.3,0.0071,0.59,0.267
35.0,0.4,0.22,0.2588,35.0,45,6,0.0,5,2.5,0,0.8,0.0063,0.63,0.113
35.0,0.0,1.1,0.2743,35.0,70,0,0.0,4,2.5,0,1.0,0.0069,0.0,0.625
25.0,0.0,0.22,0.288,25.0,45,0,0.0,5,2.0,0,0.4,0.0042,0.0,0.113
35.0,0.61,2.0,0.5731,35.0,30,6,1.0,1,1.5,0,0.0,0.0,0.56,0.267
45.0,0.86,0.22,0.5001,45.0,30,12,0.0,7,2.5,0,0.3,0.0088,0.64,0.113
45.0,0.49,0.22,0.4186,45.0,45,4,0.0,8,2.5,0,0.5,0.0099,0.6,0.113
45.0,0.59,1.1,0.5521,45.0,45,8,0.0,5,1.5,0,0.4,0.0103,0.59,0.625
35.0,0.46,0.22,0.6371,35.0,15,9,1.0,1,2.5,0,0.0,0.0,0.55,0.113
25.0,0.38,0.22,0.232,25.0,70,4,1.0,2,2.0,0,0.0,0.0,0.49,0.113
25.0,0.55,1.1,0.2412,25.0,70,6,0.0,4,2.0,0,1.0,0.0063,0.75,0.625
25.0,0.32,2.0,0.2036,25.0,70,6,1.0,2,2.5,0,0.0,0.0,0.49,0.267
35.0,0.53,1.1,0.6241,35.0,15,3,1.0,2,2.0,0,0.0,0.0,0.59,0.625
35.0,0.29,0.22,0.6273,35.0,15,3,1.0,1,2.0,0,0.0,0.0,0.58,0.113
25.0,0.57,0.22,0.5252,25.0,15,6,1.0,2,1.5,0,0.0,0.0,0.57,0.113
25.0,0.55,2.0,0.3264,25.0,70,2,0.0,4,1.5,0,0.8,0.0086,0.43,0.267
35.0,0.0,2.0,0.3816,35.0,30,0,1.0,2,2.5,0,0.0,0.0,0.0,0.267
25.0,0.65,2.0,0.3956,25.0,30,6,0.0,4,1.5,0,0.5,0.0086,0.56,0.267
35.0,0.44,0.22,0.3212,35.0,45,3,0.0,5,2.5,0,0.4,0.0103,0.55,0.113
25.0,0.77,1.1,0.482,25.0,30,6,0.0,6,1.5,0,0.5,0.0101,0.52,0.625
25.0,0.0,2.0,0.2748,25.0,70,0,1.0,2,2.0,0,0.0,0.0,0.0,0.267
45.0,0.61,2.0,0.6312,45.0,15,4,0.0,4,2.0,0,0.5,0.004,0.34,0.267
35.0,0.0,1.1,0.5269,35.0,30,0,0.0,4,2.0,0,1.0,0.0042,0.0,0.625
35.0,0.0,0.22,0.3831,35.0,70,0,0.0,9,1.5,0,0.3,0.0068,0.0,0.113
25.0,0.4,1.1,0.4736,25.0,30,6,0.0,3,1.5,0,0.7,0.0052,0.63,0.625
45.0,0.48,2.0,0.4981,45.0,45,12,0.0,3,2.0,0,0.7,0.0221,0.49,0.267
35.0,0.61,0.22,0.2831,35.0,70,9,0.0,2,2.5,0,1.0,0.0733,0.47,0.113
45.0,0.63,0.22,0.5965,45.0,15,8,0.0,4,2.5,0,1.0,0.0118,0.71,0.113
25.0,0.0,2.0,0.3284,25.0,70,0,1.0,1,1.5,0,0.0,0.0,0.0,0.267
35.0,0.64,1.1,0.3602,35.0,45,6,0.0,6,2.0,0,0.5,0.0116,0.46,0.625
35.0,0.0,2.0,0.4078,35.0,45,0,0.0,4,2.0,0,0.5,0.0043,0.0,0.267
35.0,0.62,2.0,0.5108,35.0,15,6,0.0,4,2.5,0,1.0,0.0083,0.53,0.267
35.0,0.6,2.0,0.4498,35.0,45,6,0.0,9,1.5,0,0.6,0.0361,0.4,0.267
45.0,0.64,0.22,0.5807,45.0,45,12,0.0,6,1.5,0,0.5,0.0217,0.63,0.113
35.0,0.0,0.22,0.3822,35.0,45,0,0.0,6,2.0,0,0.7,0.0109,0.0,0.113
35.0,0.37,2.0,0.3708,35.0,70,3,0.0,10,1.5,0,0.5,0.0102,0.47,0.267
25.0,0.65,0.22,0.5184,25.0,15,2,1.0,2,2.0,0,0.0,0.0,0.78,0.113
45.0,0.0,1.1,0.661,45.0,15,0,1.0,1,2.0,0,0.0,0.0,0.0,0.625
45.0,0.53,1.1,0.634,45.0,30,8,0.0,8,1.5,0,0.5,0.0076,0.58,0.625
45.0,0.56,0.22,0.4298,45.0,30,8,0.0,4,2.5,0,0.5,0.0057,0.76,0.113
25.0,0.6,0.22,0.572,25.0,15,6,1.0,2,2.0,0,0.0,0.0,0.4,0.113
45.0,0.0,2.0,0.691,45.0,15,0,1.0,1,2.0,0,0.0,0.0,0.0,0.267
45.0,0.62,0.22,0.5274,45.0,45,4,0.0,6,1.5,0,0.5,0.0309,0.62,0.113
45.0,0.51,0.22,0.3078,25.0,45,6,0.0,7,2.0,0,0.6,0.0069,0.55,0.113
