width,height,number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity,occupancy_ratio,entropy
25.0,25.0,4,0.63,1250,0.3,0.2976,0.0147
45.0,45.0,4,0.39,4050,0.46,0.4477,0.0328
25.0,25.0,6,0.54,1250,0.62,0.4512,0.0123
35.0,35.0,9,0.49,2450,0.58,0.3024,0.0249
45.0,45.0,12,0.64,4050,0.48,0.6341,0.0237
45.0,45.0,4,0.68,4050,0.47,0.5435,0.0285
25.0,25.0,6,0.58,1250,0.47,0.212,0.0156
35.0,35.0,0,0.0,2450,0.0,0.461,0.0213
45.0,45.0,4,0.61,4050,0.38,0.6621,0.0229
35.0,35.0,3,0.82,2450,0.61,0.47,0.0215
45.0,45.0,8,0.62,4050,0.73,0.4074,0.0354
35.0,35.0,3,0.76,2450,0.35,0.4718,0.021
25.0,25.0,2,0.64,1250,0.65,0.2244,0.0155
25.0,25.0,6,0.73,1250,0.37,0.2864,0.0141
35.0,35.0,3,0.7,2450,0.86,0.3288,0.0244
35.0,35.0,9,0.45,2450,0.54,0.2012,0.028
25.0,25.0,6,0.57,1250,0.5,0.2476,0.0153
45.0,45.0,12,0.46,4050,0.58,0.3801,0.0359
25.0,25.0,4,0.59,1250,0.36,0.194,0.016
35.0,35.0,9,0.56,2450,0.56,0.6543,0.0148
25.0,25.0,6,0.6,1250,0.59,0.394,0.0129
35.0,35.0,6,0.4,2450,0.63,0.2588,0.0266
35.0,35.0,0,0.0,2450,0.0,0.2743,0.026
25.0,25.0,0,0.0,1250,0.0,0.288,0.0152
35.0,35.0,6,0.61,2450,0.56,0.5731,0.0183
45.0,45.0,12,0.86,4050,0.64,0.5001,0.0304
45.0,45.0,4,0.49,4050,0.6,0.4186,0.034
45.0,45.0,8,0.59,4050,0.59,0.5521,0.0291
35.0,35.0,9,0.46,2450,0.55,0.6371,0.0142
25.0,25.0,4,0.38,1250,0.49,0.232,0.0156
25.0,25.0,6,0.55,1250,0.75,0.2412,0.0152
25.0,25.0,6,0.32,1250,0.49,0.2036,0.0154
35.0,35.0,3,0.53,2450,0.59,0.6241,0.0154
35.0,35.0,3,0.29,2450,0.58,0.6273,0.0157
25.0,25.0,6,0.57,1250,0.57,0.5252,0.0105
25.0,25.0,2,0.55,1250,0.43,0.3264,0.0142
35.0,35.0,0,0.0,2450,0.0,0.3816,0.023
25.0,25.0,6,0.65,1250,0.56,0.3956,0.0137
35.0,35.0,3,0.44,2450,0.55,0.3212,0.0252
25.0,25.0,6,0.77,1250,0.52,0.482,0.0119
25.0,25.0,0,0.0,1250,0.0,0.2748,0.0147
45.0,45.0,4,0.61,4050,0.34,0.6312,0.0239
35.0,35.0,0,0.0,2450,0.0,0.5269,0.0189
35.0,35.0,0,0.0,2450,0.0,0.3831,0.0236
25.0,25.0,6,0.4,1250,0.63,0.4736,0.0118
45.0,45.0,12,0.48,4050,0.49,0.4981,0.0313
35.0,35.0,9,0.61,2450,0.47,0.2831,0.0252
45.0,45.0,8,0.63,4050,0.71,0.5965,0.026
25.0,25.0,0,0.0,1250,0.0,0.3284,0.0139
35.0,35.0,6,0.64,2450,0.46,0.3602,0.0249
35.0,35.0,0,0.0,2450,0.0,0.4078,0.0231
35.0,35.0,6,0.62,2450,0.53,0.5108,0.0193
35.0,35.0,6,0.6,2450,0.4,0.4498,0.0223
45.0,45.0,12,0.64,4050,0.63,0.5807,0.0276
35.0,35.0,0,0.0,2450,0.0,0.3822,0.0243
35.0,35.0,3,0.37,2450,0.47,0.3708,0.0248
25.0,25.0,2,0.65,1250,0.78,0.5184,0.0104
45.0,45.0,0,0.0,4050,0.0,0.661,0.0226
45.0,45.0,8,0.53,4050,0.58,0.634,0.0246
45.0,45.0,8,0.56,4050,0.76,0.4298,0.0335
25.0,25.0,6,0.6,1250,0.4,0.572,0.0098
45.0,45.0,0,0.0,4050,0.0,0.691,0.021
45.0,45.0,4,0.62,4050,0.62,0.5274,0.0309
45.0,25.0,6,0.51,2250,0.55,0.3078,0.024
45.0,45.0,12,0.62,4050,0.41,0.3481,0.0368
25.0,25.0,4,0.53,1250,0.63,0.3424,0.0145
25.0,35.0,6,0.57,1750,0.35,0.2586,0.0195
45.0,35.0,9,0.65,3150,0.63,0.4025,0.0277
35.0,25.0,6,0.37,1750,0.62,0.4454,0.0167
25.0,45.0,6,0.47,2250,0.62,0.6129,0.015
25.0,35.0,2,0.51,1750,0.51,0.3894,0.0174
35.0,25.0,2,0.46,1750,0.55,0.1977,0.021
25.0,35.0,6,0.58,1750,0.49,0.4843,0.0151
35.0,35.0,9,0.6,2450,0.66,0.5106,0.019
45.0,25.0,9,0.24,2250,0.67,0.3398,0.0228
25.0,45.0,0,0.0,2250,0.0,0.4113,0.0216
35.0,35.0,0,0.0,2450,0.0,0.4196,0.0229
25.0,45.0,9,0.6,2250,0.77,0.1098,0.0274
45.0,45.0,4,0.63,4050,0.55,0.4525,0.0322
45.0,35.0,0,0.0,3150,0.0,0.4551,0.0272
35.0,45.0,9,0.58,3150,0.47,0.589,0.0201
35.0,25.0,4,0.59,1750,0.5,0.6137,0.0122
45.0,25.0,6,0.56,2250,0.61,0.0613,0.0273
35.0,35.0,6,0.38,2450,0.55,0.0563,0.0295
35.0,25.0,4,0.67,1750,0.29,0.4889,0.0155
45.0,45.0,4,0.55,4050,0.43,0.3702,0.0373
35.0,45.0,9,0.58,3150,0.64,0.3527,0.0299
45.0,45.0,8,0.52,4050,0.61,0.5701,0.0274
45.0,45.0,12,0.59,4050,0.73,0.7398,0.0184
35.0,25.0,0,0.0,1750,0.0,0.2797,0.0191
35.0,45.0,9,0.43,3150,0.42,0.614,0.0207
35.0,25.0,0,0.0,1750,0.0,0.5891,0.0126
25.0,45.0,9,0.54,2250,0.51,0.6656,0.014
25.0,35.0,0,0.0,1750,0.0,0.4143,0.0176
25.0,25.0,6,0.54,1250,0.47,0.3108,0.0138
25.0,25.0,2,0.68,1250,0.72,0.606,0.0096
35.0,45.0,6,0.54,3150,0.45,0.6384,0.0196
25.0,45.0,6,0.43,2250,0.64,0.5542,0.0163
25.0,45.0,6,0.78,2250,0.38,0.2836,0.0249
45.0,45.0,8,0.55,4050,0.48,0.1601,0.0451
45.0,25.0,9,0.54,2250,0.48,0.456,0.0202
25.0,45.0,3,0.43,2250,0.4,0.34,0.0226
45.0,45.0,0,0.0,4050,0.0,0.3978,0.0351
25.0,45.0,6,0.61,2250,0.67,0.2091,0.0256
25.0,35.0,2,0.44,1750,0.28,0.0674,0.0219
45.0,35.0,9,0.7,3150,0.65,0.5573,0.0229
25.0,35.0,6,0.74,1750,0.53,0.7631,0.0084
25.0,45.0,6,0.57,2250,0.42,0.5447,0.0171
45.0,35.0,3,0.69,3150,0.82,0.2784,0.033
35.0,35.0,3,0.54,2450,0.31,0.3486,0.0261
35.0,35.0,6,0.54,2450,0.58,0.5753,0.0174
25.0,25.0,2,0.77,1250,0.71,0.506,0.0114
35.0,35.0,3,0.31,2450,0.6,0.5482,0.019
35.0,35.0,6,0.67,2450,0.58,0.6135,0.0162
25.0,25.0,4,0.69,1250,0.59,0.2732,0.0148
25.0,25.0,2,0.44,1250,0.35,0.6168,0.0095
35.0,35.0,9,0.54,2450,0.56,0.3402,0.0257
45.0,45.0,4,0.56,4050,0.66,0.3289,0.0371
25.0,25.0,0,0.0,1250,0.0,0.4564,0.0122
35.0,35.0,0,0.0,2450,0.0,0.4378,0.0208
45.0,45.0,4,0.64,4050,0.66,0.5837,0.0261
25.0,25.0,6,0.65,1250,0.52,0.5188,0.0114
35.0,35.0,0,0.0,2450,0.0,0.519,0.0201
35.0,35.0,6,0.6,2450,0.5,0.5696,0.0178
25.0,25.0,4,0.53,1250,0.78,0.3768,0.0134
45.0,45.0,12,0.51,4050,0.62,0.3383,0.0375
35.0,35.0,6,0.39,2450,0.51,0.4439,0.0217
45.0,45.0,0,0.0,4050,0.0,0.5121,0.0293
35.0,35.0,3,0.68,2450,0.76,0.539,0.0189
45.0,45.0,0,0.0,4050,0.0,0.5937,0.0267
45.0,45.0,4,0.66,4050,0.43,0.4547,0.0332
35.0,35.0,3,0.57,2450,0.48,0.4043,0.0228
45.0,45.0,8,0.61,4050,0.69,0.4343,0.0341
45.0,45.0,4,0.57,4050,0.6,0.6016,0.0258
35.0,35.0,6,0.63,2450,0.33,0.2349,0.027
25.0,25.0,2,0.32,1250,0.25,0.2936,0.0148
45.0,45.0,12,0.5,4050,0.58,0.282,0.0399
25.0,25.0,0,0.0,1250,0.0,0.2488,0.0155
45.0,45.0,12,0.54,4050,0.56,0.5186,0.0307
35.0,35.0,3,0.48,2450,0.34,0.5163,0.0206
35.0,35.0,6,0.45,2450,0.7,0.4316,0.0226
35.0,35.0,0,0.0,2450,0.0,0.6529,0.0142
25.0,25.0,0,0.0,1250,0.0,0.5928,0.0096
35.0,35.0,3,0.43,2450,0.54,0.4627,0.0215
25.0,25.0,4,0.64,1250,0.57,0.5264,0.0102
35.0,35.0,9,0.55,2450,0.74,0.4171,0.0219
45.0,45.0,8,0.66,4050,0.58,0.5863,0.0261
35.0,35.0,3,0.55,2450,0.29,0.6129,0.0164
35.0,35.0,3,0.57,2450,0.49,0.3235,0.0258
25.0,25.0,2,0.5,1250,0.65,0.352,0.0138
35.0,35.0,0,0.0,2450,0.0,0.4414,0.0213
45.0,45.0,8,0.69,4050,0.58,0.4847,0.0312
45.0,45.0,0,0.0,4050,0.0,0.7678,0.0168
35.0,35.0,6,0.61,2450,0.66,0.4714,0.0219
25.0,25.0,4,0.38,1250,0.51,0.3888,0.014
35.0,35.0,0,0.0,2450,0.0,0.512,0.0195
45.0,45.0,4,0.88,4050,0.68,0.7569,0.0168
25.0,25.0,6,0.51,1250,0.64,0.3592,0.0138
45.0,45.0,12,0.57,4050,0.59,0.3488,0.0368
35.0,35.0,9,0.54,2450,0.57,0.25,0.0271
25.0,25.0,6,0.68,1250,0.51,0.2288,0.0154
45.0,45.0,4,0.59,4050,0.35,0.3951,0.0349
25.0,25.0,2,0.26,1250,0.68,0.404,0.0127
35.0,35.0,3,0.3,2450,0.73,0.4039,0.0228
35.0,35.0,6,0.38,2450,0.47,0.5024,0.02
45.0,45.0,12,0.51,4050,0.51,0.4452,0.0323
45.0,45.0,8,0.62,4050,0.39,0.679,0.0218
35.0,35.0,3,0.66,2450,0.42,0.4331,0.022
25.0,25.0,0,0.0,1250,0.0,0.3952,0.0135
45.0,45.0,12,0.57,4050,0.51,0.639,0.0249
45.0,45.0,8,0.71,4050,0.55,0.2712,0.0406
25.0,25.0,4,0.55,1250,0.58,0.5424,0.01
35.0,35.0,0,0.0,2450,0.0,0.2284,0.0275
45.0,45.0,0,0.0,4050,0.0,0.2863,0.0401
35.0,35.0,9,0.48,2450,0.47,0.6859,0.0137
45.0,45.0,0,0.0,4050,0.0,0.6901,0.0206
25.0,25.0,2,0.2,1250,0.47,0.2472,0.0151
35.0,35.0,9,0.5,2450,0.57,0.3867,0.0238
35.0,35.0,0,0.0,2450,0.0,0.4496,0.0228
45.0,45.0,12,0.5,4050,0.62,0.7657,0.0171
45.0,45.0,8,0.47,4050,0.56,0.3922,0.036
35.0,35.0,3,0.59,2450,0.59,0.2714,0.0272
35.0,35.0,3,0.75,2450,0.43,0.3173,0.0255
45.0,45.0,0,0.0,4050,0.0,0.6828,0.0209
45.0,45.0,8,0.55,4050,0.73,0.6483,0.0232
35.0,35.0,0,0.0,2450,0.0,0.6476,0.0151
25.0,25.0,4,0.71,1250,0.39,0.2472,0.015
25.0,25.0,2,0.58,1250,0.46,0.4832,0.011
45.0,45.0,4,0.63,4050,0.57,0.5973,0.0254
25.0,25.0,4,0.67,1250,0.62,0.3112,0.0144
25.0,25.0,4,0.39,1250,0.23,0.222,0.0157
25.0,25.0,2,0.69,1250,0.52,0.3676,0.0139
25.0,25.0,4,0.51,1250,0.7,0.2964,0.0148
35.0,35.0,0,0.0,2450,0.0,0.5865,0.0176
35.0,35.0,6,0.49,2450,0.59,0.2798,0.0268
45.0,45.0,8,0.43,4050,0.66,0.2514,0.0415
45.0,45.0,12,0.46,4050,0.4,0.3585,0.0365
35.0,35.0,3,0.55,2450,0.57,0.5037,0.0197
35.0,35.0,9,0.64,2450,0.64,0.3153,0.0252
25.0,25.0,0,0.0,1250,0.0,0.2344,0.0155
45.0,45.0,8,0.63,4050,0.48,0.3051,0.0393
25.0,25.0,2,0.88,1250,0.52,0.4516,0.0124
45.0,45.0,8,0.46,4050,0.56,0.4767,0.0314
25.0,25.0,6,0.45,1250,0.69,0.3676,0.014
45.0,45.0,0,0.0,4050,0.0,0.5022,0.0299
45.0,45.0,12,0.67,4050,0.42,0.3957,0.036
45.0,45.0,4,0.4,4050,0.46,0.5727,0.0264
25.0,25.0,4,0.62,1250,0.72,0.5668,0.0098
45.0,45.0,8,0.56,4050,0.57,0.4179,0.034
25.0,25.0,2,0.38,1250,0.39,0.2944,0.0151
45.0,45.0,12,0.59,4050,0.58,0.6543,0.0237
25.0,25.0,6,0.48,1250,0.64,0.314,0.0137
35.0,35.0,6,0.52,2450,0.61,0.3637,0.0257
35.0,35.0,6,0.6,2450,0.59,0.4292,0.0226
35.0,35.0,3,0.54,2450,0.67,0.2676,0.0267
45.0,45.0,4,0.52,4050,0.41,0.5577,0.0287
45.0,45.0,12,0.54,4050,0.52,0.353,0.0378
25.0,25.0,6,0.52,1250,0.59,0.3532,0.0139
35.0,35.0,0,0.0,2450,0.0,0.6684,0.0141
25.0,25.0,4,0.57,1250,0.44,0.3048,0.0142
45.0,45.0,4,0.84,4050,0.55,0.5573,0.0285
25.0,25.0,0,0.0,1250,0.0,0.5244,0.0106
45.0,45.0,8,0.42,4050,0.59,0.6383,0.023
45.0,45.0,12,0.62,4050,0.56,0.7065,0.0196
45.0,45.0,8,0.64,4050,0.63,0.3425,0.0382
35.0,35.0,0,0.0,2450,0.0,0.6251,0.0155
45.0,45.0,12,0.57,4050,0.49,0.5273,0.0303
45.0,45.0,8,0.53,4050,0.52,0.5281,0.0305
45.0,45.0,4,0.59,4050,0.46,0.3074,0.0379
25.0,25.0,2,0.68,1250,0.45,0.3544,0.0135
35.0,35.0,9,0.64,2450,0.58,0.3698,0.0237
25.0,25.0,6,0.6,1250,0.6,0.2304,0.0154
35.0,35.0,6,0.61,2450,0.51,0.6257,0.0154
45.0,45.0,8,0.68,4050,0.6,0.5278,0.0304
35.0,35.0,9,0.54,2450,0.6,0.4851,0.0202
25.0,25.0,0,0.0,1250,0.0,0.4868,0.0119
45.0,45.0,8,0.81,4050,0.62,0.2737,0.0403
25.0,25.0,4,0.48,1250,0.43,0.4388,0.0126
45.0,45.0,0,0.0,4050,0.0,0.6423,0.0243
25.0,25.0,2,0.81,1250,0.61,0.2364,0.0151
45.0,45.0,0,0.0,4050,0.0,0.3175,0.0374
35.0,35.0,9,0.58,2450,0.54,0.49,0.0199
25.0,25.0,0,0.0,1250,0.0,0.232,0.0154
35.0,35.0,6,0.42,2450,0.55,0.4349,0.0228
35.0,35.0,6,0.67,2450,0.52,0.3929,0.0233
25.0,25.0,6,0.56,1250,0.5,0.2864,0.0151
35.0,35.0,6,0.58,2450,0.48,0.6982,0.0133
25.0,25.0,0,0.0,1250,0.0,0.5092,0.0108
35.0,35.0,0,0.0,2450,0.0,0.5318,0.0187
45.0,45.0,8,0.68,4050,0.65,0.43,0.0338
25.0,45.0,0,0.0,2250,0.0,0.4898,0.0186
25.0,35.0,4,0.65,1750,0.46,0.246,0.0205
25.0,25.0,2,0.34,1250,0.57,0.226,0.0154
25.0,35.0,0,0.0,1750,0.0,0.4083,0.0167
25.0,45.0,3,0.44,2250,0.61,0.3951,0.0211
25.0,25.0,0,0.0,1250,0.0,0.1684,0.0161
45.0,35.0,6,0.41,3150,0.55,0.4146,0.0287
25.0,45.0,6,0.48,2250,0.61,0.2978,0.0241
35.0,25.0,6,0.63,1750,0.65,0.5457,0.0139
45.0,35.0,9,0.52,3150,0.58,0.2819,0.0323
25.0,35.0,0,0.0,1750,0.0,0.5057,0.0147
25.0,45.0,9,0.63,2250,0.48,0.7071,0.0127
35.0,25.0,2,0.74,1750,0.96,0.0674,0.0219
25.0,25.0,4,0.46,1250,0.52,0.2568,0.0151
45.0,35.0,0,0.0,3150,0.0,0.0502,0.0366
45.0,35.0,0,0.0,3150,0.0,0.2676,0.0326
25.0,35.0,2,0.34,1750,0.4,0.6431,0.0117
45.0,25.0,6,0.51,2250,0.7,0.2204,0.0254
45.0,35.0,9,0.58,3150,0.63,0.1768,0.0347
25.0,25.0,4,0.47,1250,0.5,0.37,0.0134
45.0,25.0,6,0.53,2250,0.43,0.5282,0.0174
35.0,25.0,2,0.4,1750,0.8,0.1977,0.0211
25.0,45.0,6,0.44,2250,0.33,0.3853,0.0222
45.0,45.0,4,0.68,4050,0.59,0.1433,0.0438
25.0,35.0,4,0.38,1750,0.54,0.1851,0.0215
25.0,35.0,6,0.36,1750,0.41,0.2891,0.0195
35.0,45.0,3,0.4,3150,0.41,0.2754,0.0323
45.0,45.0,0,0.0,4050,0.0,0.7519,0.0178
45.0,35.0,3,0.67,3150,0.57,0.4048,0.0286
35.0,25.0,6,0.59,1750,0.53,0.5594,0.0137
45.0,25.0,3,0.7,2250,0.57,0.2451,0.0259
35.0,25.0,4,0.37,1750,0.5,0.3757,0.0175
45.0,35.0,0,0.0,3150,0.0,0.3643,0.0303
35.0,25.0,6,0.73,1750,0.64,0.3737,0.0185
45.0,25.0,0,0.0,2250,0.0,0.222,0.0252
35.0,35.0,0,0.0,2450,0.0,0.489,0.0203
45.0,35.0,3,0.84,3150,0.85,0.1686,0.0347
35.0,35.0,0,0.0,2450,0.0,0.3031,0.0261
45.0,45.0,8,0.65,4050,0.62,0.6347,0.0235
45.0,25.0,3,0.92,2250,0.54,0.7133,0.0119
45.0,45.0,12,0.42,4050,0.59,0.5053,0.0315
25.0,45.0,6,0.55,2250,0.38,0.2304,0.025
35.0,35.0,9,0.51,2450,0.54,0.4122,0.0231
35.0,35.0,3,0.61,2450,0.46,0.1482,0.0292
35.0,35.0,6,0.79,2450,0.62,0.4512,0.0219
35.0,35.0,3,0.79,2450,0.64,0.2849,0.026
45.0,45.0,12,0.56,4050,0.62,0.5706,0.0276
35.0,45.0,6,0.67,3150,0.42,0.4613,0.0255
45.0,45.0,12,0.63,4050,0.66,0.6979,0.0199
45.0,35.0,0,0.0,3150,0.0,0.0502,0.0366
25.0,25.0,0,0.0,1250,0.0,0.246,0.0161
45.0,25.0,9,0.67,2250,0.61,0.4156,0.02
35.0,35.0,0,0.0,2450,0.0,0.3331,0.025
35.0,35.0,0,0.0,2450,0.0,0.502,0.0207
45.0,45.0,8,0.57,4050,0.59,0.3914,0.0343
25.0,25.0,0,0.0,1250,0.0,0.2616,0.0154
25.0,45.0,0,0.0,2250,0.0,0.2076,0.0264
35.0,25.0,0,0.0,1750,0.0,0.2469,0.0201
35.0,35.0,6,0.66,2450,0.5,0.4608,0.0211
35.0,25.0,2,0.39,1750,0.44,0.3091,0.0195
45.0,25.0,6,0.6,2250,0.65,0.6531,0.0142
25.0,45.0,0,0.0,2250,0.0,0.0613,0.0273
45.0,45.0,8,0.67,4050,0.59,0.5895,0.0273
45.0,25.0,6,0.73,2250,0.57,0.3573,0.022
25.0,45.0,3,0.58,2250,0.65,0.5696,0.0161
45.0,35.0,6,0.49,3150,0.57,0.5559,0.0231
25.0,35.0,4,0.66,1750,0.62,0.428,0.0172
35.0,25.0,2,0.54,1750,0.85,0.7103,0.0099
35.0,35.0,3,0.8,2450,0.49,0.1998,0.0275
45.0,35.0,6,0.44,3150,0.56,0.0502,0.0366
25.0,45.0,9,0.56,2250,0.77,0.0613,0.0273
25.0,25.0,0,0.0,1250,0.0,0.1736,0.0161
25.0,45.0,6,0.57,2250,0.54,0.3651,0.0223
45.0,35.0,3,0.53,3150,0.74,0.3973,0.0279
45.0,25.0,9,0.63,2250,0.58,0.4289,0.0212
35.0,25.0,0,0.0,1750,0.0,0.2869,0.0194
45.0,25.0,6,0.41,2250,0.52,0.4093,0.0223
35.0,35.0,0,0.0,2450,0.0,0.5414,0.02
45.0,45.0,12,0.51,4050,0.6,0.3846,0.037
25.0,35.0,0,0.0,1750,0.0,0.512,0.0155
