width,height,number_dynamic_obstacles,average_obstalce_size,map_size,average_linear_velocity,occupancy_ratio,entropy
25.0,25.0,4,0.53,1250,0.78,0.3768,0.0134
25.0,25.0,0,0.0,1250,0.0,0.5928,0.0096
35.0,35.0,6,0.6,2450,0.5,0.5696,0.0178
45.0,45.0,8,0.61,4050,0.69,0.4343,0.0341
45.0,45.0,12,0.5,4050,0.58,0.282,0.0399
45.0,45.0,12,0.54,4050,0.56,0.5186,0.0307
35.0,35.0,6,0.54,2450,0.58,0.5753,0.0174
25.0,25.0,2,0.77,1250,0.71,0.506,0.0114
35.0,35.0,3,0.48,2450,0.34,0.5163,0.0206
25.0,25.0,0,0.0,1250,0.0,0.4564,0.0122
45.0,45.0,0,0.0,4050,0.0,0.5121,0.0293
35.0,35.0,3,0.57,2450,0.48,0.4043,0.0228
35.0,35.0,6,0.39,2450,0.51,0.4439,0.0217
25.0,25.0,4,0.69,1250,0.59,0.2732,0.0148
25.0,25.0,6,0.65,1250,0.52,0.5188,0.0114
25.0,25.0,4,0.64,1250,0.57,0.5264,0.0102
35.0,35.0,9,0.54,2450,0.56,0.3402,0.0257
45.0,45.0,0,0.0,4050,0.0,0.5937,0.0267
35.0,35.0,3,0.31,2450,0.6,0.5482,0.019
45.0,45.0,4,0.64,4050,0.66,0.5837,0.0261
45.0,45.0,4,0.57,4050,0.6,0.6016,0.0258
35.0,35.0,9,0.55,2450,0.74,0.4171,0.0219
45.0,45.0,4,0.66,4050,0.43,0.4547,0.0332
35.0,35.0,0,0.0,2450,0.0,0.4378,0.0208
35.0,35.0,6,0.45,2450,0.7,0.4316,0.0226
45.0,45.0,12,0.62,4050,0.47,0.1053,0.0455
25.0,25.0,2,0.39,1250,0.63,0.3196,0.0139
35.0,35.0,3,0.49,2450,0.62,0.2035,0.0287
45.0,45.0,4,0.46,4050,0.74,0.2247,0.0406
25.0,25.0,6,0.5,1250,0.66,0.176,0.0161
35.0,35.0,6,0.5,2450,0.67,0.2392,0.0284
45.0,45.0,0,0.0,4050,0.0,0.044,0.0454
45.0,45.0,12,0.57,4050,0.51,0.3707,0.036
25.0,25.0,2,0.83,1250,0.27,0.4744,0.0118
35.0,35.0,9,0.74,2450,0.5,0.1504,0.0292
45.0,45.0,8,0.51,4050,0.79,0.044,0.0454
45.0,45.0,4,0.55,4050,0.37,0.3827,0.0356
45.0,45.0,0,0.0,4050,0.0,0.2335,0.0416
45.0,45.0,8,0.58,4050,0.4,0.2256,0.0408
35.0,35.0,6,0.7,2450,0.48,0.6176,0.0165
45.0,45.0,0,0.0,4050,0.0,0.2972,0.0396
45.0,45.0,4,0.58,4050,0.72,0.1315,0.0453
25.0,25.0,2,0.43,1250,0.42,0.7016,0.0078
35.0,35.0,9,0.55,2450,0.4,0.6188,0.0165
25.0,25.0,6,0.55,1250,0.69,0.7128,0.0078
45.0,45.0,12,0.66,4050,0.6,0.1047,0.0455
35.0,35.0,9,0.6,2450,0.57,0.4994,0.02
35.0,35.0,9,0.61,2450,0.52,0.3471,0.0234
35.0,35.0,3,0.62,2450,0.65,0.0563,0.0295
35.0,35.0,6,0.65,2450,0.59,0.0563,0.0295
45.0,45.0,8,0.43,4050,0.48,0.3737,0.0357
25.0,25.0,2,0.26,1250,0.54,0.5272,0.0109
35.0,35.0,9,0.44,2450,0.51,0.3276,0.024
25.0,25.0,4,0.4,1250,0.26,0.3572,0.0137
35.0,35.0,3,0.64,2450,0.66,0.4386,0.0225
35.0,35.0,3,0.55,2450,0.73,0.2386,0.0283
35.0,35.0,6,0.82,2450,0.56,0.2327,0.0285
45.0,45.0,0,0.0,4050,0.0,0.35,0.0379
35.0,35.0,6,0.52,2450,0.7,0.4433,0.0225
25.0,25.0,2,0.63,1250,0.47,0.0784,0.0163
25.0,25.0,4,0.74,1250,0.27,0.2408,0.0157
45.0,45.0,0,0.0,4050,0.0,0.129,0.0452
25.0,25.0,2,0.49,1250,0.55,0.1684,0.016
25.0,25.0,4,0.5,1250,0.47,0.0784,0.0163
35.0,35.0,9,0.58,2450,0.46,0.1973,0.0287
25.0,25.0,6,0.63,1250,0.54,0.0784,0.0163
25.0,25.0,2,0.94,1250,0.91,0.3384,0.0148
25.0,25.0,6,0.49,1250,0.57,0.6364,0.0096
35.0,35.0,9,0.44,2450,0.6,0.1469,0.0292
45.0,45.0,4,0.49,4050,0.6,0.2207,0.0416
35.0,35.0,6,0.68,2450,0.48,0.15,0.0292
