robot_max_speed,robot_radius,success_rate,collision_rate,average_collision_amount,timeout_rate,timeout_collision_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,dyn_obstacle_occupation,crowdnav,dwa,rlca,teb
2,0.267,0.3,0.7,1.5,0.0,0.17,63.76,2346743335677.77,90,50,1,15,4,0,0,0,0,216.0,0.0159,2250,2.3219,4,0.5902,1.0,0.0066,0.0,0.57,0.53,9,5,1,0,0,0
1.1,0.625,0.4,0.6,1.63,0.0,0.1,45.78,1221820001220.2,50,90,0,0,0,1,10,2,0,67.5,0.0274,2250,2.3219,14,0.1098,0.4,0.0134,0.0,0.77,0.6,9,5,0,0,1,0
2,0.267,0.6,0.4,0.63,0.0,0.13,69.56,2367666669031.33,70,90,1,70,5,0,0,0,0,240.0,0.0308,3150,2.3219,4,0.3159,1.0,0.008,0.0,0.44,0.48,9,4,1,0,0,0
2,0.267,0.37,0.63,1.17,0.0,0.4,73.21,3389173336721.07,70,90,0,0,0,1,20,4,0,138.4615,0.0327,3150,2.3219,20,0.271,0.6,0.0167,0.0,0.46,0.75,6,4,1,0,0,0
0.22,0.113,0.45,0.52,4.48,0.03,0.21,151.82,1760275863828.62,90,90,1,70,4,0,0,0,0,338.8235,0.0322,4050,2.3219,5,0.4525,0.8,0.0144,0.0,0.55,0.63,4,3,0,0,1,0
0.22,0.113,0.43,0.53,15.1,0.03,0.23,271.3,2258076668922.43,90,70,1,45,4,0,0,0,0,240.0,0.0272,3150,2.3219,3,0.4551,0.7,0.0024,0.0,0.0,0.0,0,0,0,0,1,0
0.22,0.113,0.3,0.7,14.3,0.0,0.2,224.47,2230066668894.33,70,90,1,15,5,0,0,0,0,180.0,0.0201,3150,2.3219,2,0.589,0.0,0.0,1.0,0.47,0.58,9,5,0,0,1,0
1.1,0.625,0.29,0.71,1.1,0.0,0.0,4.53,28038095265.62,70,50,1,15,3,0,0,0,0,360.0,0.0122,1750,2.3219,1,0.6137,0.0,0.0,1.0,0.5,0.59,4,2,0,0,1,0
0.22,0.113,0.87,0.13,0.17,0.0,0.0,40.94,502516667167.83,90,50,0,0,0,1,0,6,0,180.0,0.0273,2250,2.3219,2,0.0613,0.0,0.0,1.0,0.61,0.56,6,3,0,0,1,0
1.1,0.625,0.7,0.3,0.37,0.0,0.0,34.85,487226667152.93,70,70,0,0,0,1,0,2,0,180.0,0.0295,2450,2.3219,2,0.0563,0.0,0.0,1.0,0.55,0.38,6,2,0,0,1,0
1.1,0.625,0.33,0.63,7.0,0.03,0.43,246.3,3233610003233.1,70,50,0,0,0,1,30,4,0,150.0,0.0155,1750,2.3219,10,0.4889,0.6,0.061,0.0001,0.29,0.67,4,3,0,0,1,0
2,0.267,0.1,0.63,3.9,0.27,0.43,163.67,5049050005046.5,90,90,0,0,0,1,40,4,0,221.5385,0.0373,4050,2.3219,24,0.3702,0.5,0.0145,0.0,0.43,0.55,4,2,0,0,1,0
0.22,0.113,0.5,0.5,0.93,0.0,0.2,92.61,2802506669467.73,70,70,0,0,0,1,30,2,0,185.1429,0.0287,2450,2.3219,25,0.1969,0.5,0.0124,0.0,0.0,0.0,0,0,1,0,0,0
1.1,0.625,0.97,0.03,0.07,0.0,0.03,35.68,714858621404.79,50,70,0,0,0,1,30,2,0,130.9091,0.0208,1750,2.3219,25,0.2403,0.7,0.0164,0.0,0.0,0.0,0,0,1,0,0,0
